id,lat,lon,name,street,zip_code,city
262991419,52.4262221,13.7420676,"Jugendclub Erkner ""Haus am See""",,,
266630320,52.51314,13.6120626,Buergeramt Mahlsdorf,Hönower Straße 91,12623,Berlin
268915262,52.5310025,13.3415438,Karame e.V.,Wilhelmshavener Straße 22,10551,Berlin
268915306,52.4888821,13.4193079,Biberzahn,Jahnstraße 5,10967,Berlin
268915454,52.5238851,13.3489832,K3 Kiez-Kids-Klub,Kirchstraße 4,10557,Berlin
268917395,52.504397,13.3096797,Schwulenberatung Berlin,Niebuhrstraße 59/60,10629,Berlin
270742541,52.5426247,13.3760831,Max und Marek,Neue Hochstraße 24,13347,Berlin
302942536,52.5565128,13.2192364,Medienpoint Spandau,Hugo-Cassirer-Straße 4,13587,Berlin
313200688,52.392421,13.0913974,AWO Kulturhaus Babelsberg,,,
323241391,52.518601,13.4217379,WG Solidarität Mitgliedertreff,Schillingstraße 12,,
352783755,52.5401363,13.4788778,BFC Dynamo Vereinsheim,,13053,Berlin
395708753,52.5645585,13.3963359,Evangelische Kirchengemeinde Martin Luther,Pradelstraße 11,13187,Berlin
401864244,52.4015333,13.5704821,Kulturküche Bohnsdorf,,,
411724432,52.487144,13.3896483,DTK-Wasserturm,,,
573381068,52.5122632,13.4701477,einLaden,Weichselstraße 29,10247,Berlin
615607326,52.4798006,13.4501349,Open Tiny,,,
637834348,52.4552464,13.5828604,Cafe/Haus der Jugend Köpenick,,,
638750039,52.5009791,13.4657857,Jugendclub E-Lok,Laskerstraße 6-8,10245,Berlin
653797109,52.4477346,13.4496581,Seniorenfreizeitstätte Bruno-Taut,,,
660820001,52.5443562,13.3273403,Schwimm-Club Wedding,,,
665072785,52.4936415,13.4397016,Weltraum Kiezladen für nachhaltige Alltagskultur,Ratiborstraße 4,10999,Berlin
687038533,52.5148305,13.4907784,aufatmen,Schottstraße 2,10365,Berlin
775814877,52.5049903,13.407098,Bona Peiser,Oranienstraße 72,10969,Berlin
791236061,52.5139341,13.449925,Regenbogenhaus,,,
799000082,52.4986179,13.4165594,Aquarium,Skalitzer Straße 6,10999,Berlin
802697252,52.4439197,13.3153355,BENN Hindenburgdamm,Hindenburgdamm 89,12203,Berlin
803941786,52.5128093,13.4498124,xHain,Grünberger Straße 16,10243,Berlin
831742345,52.5644125,13.0943579,Saftladen,,,
874307702,52.5019625,13.4185606,Ora 34,Oranienstraße 34,10999,Berlin
876244330,52.5016984,13.4214087,Naunyn 65,,,
876249655,52.5010192,13.4227444,Schokofabrik,Naunynstraße 72,10997,Berlin
930202350,52.4625692,13.4707961,Jugendtreff TheCorner,Neuköllnische Allee 129,12057,Berlin
990218933,52.4776993,13.4240706,Stadtteil- & Infoladen Lunte,Weisestraße 53,,
998544689,52.5513309,13.4187281,Sonntags-Club,Greifenhagener Straße 28,10437,Berlin
1092142199,52.496875,13.4078199,Statthaus-Böcklerpark,Prinzenstraße 1,10969,Berlin
1172686632,52.5199801,13.450862,Beatbox,Mühsamstraße 48,10249,Berlin
1252447304,52.5423615,13.359345,Konfliktagentur im Sprengelkiez,Sparrstraße 19,,
1254190259,52.5874353,13.2766078,Seniorentreffpunkt Tegel,,,
1256403115,52.5147567,13.444885,Begegnungszentrum INTEGRAL e.V.,,,
1293994860,52.5062673,13.3922587,Seniorenfreizeitstätte Charlottenstraße 85,Charlottenstraße 85,10969,Berlin
1307115303,52.4688192,13.4302609,Nagelneu,Hermannstraße 103,12051,Berlin
1363483913,52.4976001,13.3792756,KIMBAexpress,,,
1425304968,52.501568,13.3605015,Nachbarschaftshaus,,,
1445349887,52.425368,13.4621999,Gemeinschaftshaus Gropiusstadt,Bat-Yam-Platz 1,12353,Berlin
1471943097,52.5443776,13.4249634,BGFF,Ahlbecker Straße 17,10437,Berlin
1505584114,52.5841064,13.2770771,Ruder-Riege Turnverein Waidmannslust,Eisenhammerweg 22-24,13507,Berlin
1524950366,52.4899522,13.5213145,Kommunale Begegnungsstätte Karlshorst,Hönower Straße 30a,10318,Berlin
1555601455,52.5265613,13.4274014,Satellit,Weinstraße 11,10249,Berlin
1647185508,52.4823741,13.4368178,Altes Finanzamt,Schönstedtstraße 7,12043,Berlin
1650642850,52.5392346,13.3881073,Quartiersmanagement Brunnenviertel - Ackerstraße,Jasmunder Straße 16,13355,Berlin
1654365784,52.538242,13.2058211,Gemeindesaal Ev. Kirchengemeinde St. Nikolai,,,
1681600329,52.5260831,13.3057531,Nachbarschaftsladen Mierendorffplatz,Mierendorffplatz 19,10589,Berlin
1703460022,52.5720492,13.5024287,Nachbarschaftshaus im Ostseeviertel,Ribnitzer Straße 1b,13051,Berlin
1745568158,52.470975,13.4309683,FAQ Infoladen,Jonasstraße 40,12053,Berlin
1762943006,52.5057583,13.3936764,Gloria Event Center,Markgrafenstraße 67,10969,Berlin
1791368627,52.4785137,13.4212269,Rad und Tat,Schillerpromenade 1,12049,Berlin
1874472286,52.5840475,13.2771995,Nordberliner Tauchverein,Eisenhammerweg 22,13507,Berlin
1891361728,52.4732169,13.3072159,InternetTreff Schlange,Schlangenbader Straße 25,14197,Berlin
1915697585,52.4998069,13.3550034,Mann-O-Meter e.V.,Bülowstraße 106,10783,Berlin
1923424966,52.5289007,13.4250691,Haus der Demokratie und Menschenrechte,Greifswalder Straße 4,10405,Berlin
1929519705,52.4374457,13.3754837,Quälgeist,Lankwitzer Straße 42/43,12107,Berlin
1979393516,52.4784535,13.4246389,H48,Hermannstraße 48,12049,Berlin
1984032061,52.4948934,13.5073396,Jugendclub Betonoase,,,
2058457544,52.5323202,13.4243514,Kaffee Immanet,Immanuelkirchstraße 8/I,10405,Berlin
2061641253,52.533516,13.3598282,B-Laden,Lehrter Straße 30,10557,Berlin
2125027803,52.5468526,13.3666534,Quartiersmanagement Pankstraße,Prinz-Eugen-Straße 1,13347,Berlin
2135948949,52.6063239,13.4211171,Nachbarschaftszentrum Amtshaus Buchholz,Rosenthaler Weg 32,13127,Berlin
2285840288,52.5594987,13.3826265,Panke-Haus,Soldiner Straße 76,13359,Berlin
2301610385,52.551674,13.3656044,Association des Jeunes Africains et Sympathisants en Allemagne e.V.,,,
2302170223,52.5239299,13.3495626,Polizeisportverein Delphin 1889,Kirchstraße 24,10557,Berlin
2349327403,52.5194238,13.3944978,Collegium Hungaricum Berlin,Dorotheenstraße 12,10117,Berlin
2424240176,52.4929721,13.4075946,Nachbarschaftshaus Urbanstraße,Urbanstraße 21,10961,Berlin
