id,lat,lon,name,street,zip_code,city
30352328,52.5133372,13.2842603,,,,Berlin
616672198,52.536068,13.1917177,Sixti Car Club,,,
1826897235,52.4997903,13.4201248,stadtmobil,Skalitzer Straße 133,10999,Berlin
1826931830,52.5051208,13.4316834,Stadtmobil,Audre-Lorde-Straße 17-21,10997,Berlin
3363900043,52.5421241,13.420326,,,,
3674966440,52.5301815,13.4320752,Stadtmobil,Bötzowstraße 13,10407,Berlin
3875852629,52.5449905,13.4269668,Flinkster,,,
4436548357,52.5343108,13.381765,,,,
4605555446,52.5229639,13.378748,,,,
5260315892,52.5473121,13.4076002,,,,
6124260756,52.5034886,13.4375537,Cambio Station Köpenicker,Köpenicker Straße 11,,
7536994036,52.5135935,13.4222072,,,,
7915910821,52.5287821,13.4012144,stadtmobil,,,
7995684589,52.4796049,13.3463921,,,,
8255683563,52.5541797,13.2260851,Jelbi-Station Daumstraße/Rhenaniastraße,,,
8614201454,52.5386786,13.2326674,Jelbi-Station U Haselhorst,,,
8614204893,52.5106897,13.5009862,Jelbi-Station S+U Lichtenberg,,,
9002051629,52.5058683,13.5608726,Jelbi,,,
9074640222,52.5440855,13.4180888,cambio CarSharing - Station Helmholtz,Lychener Straße 46,10437,Berlin
10263347366,52.4917973,13.3791418,,,,
10271579872,52.4867107,13.4228501,,,,
10293401273,52.4885196,13.4135196,,,,
10293414916,52.4974999,13.4436721,,,,
10608414647,52.5722166,13.4281633,DB InfraGO Granitzstraße,,13189,Berlin
10969860170,52.4755902,13.3663847,,,,
11268687349,52.6740032,13.2907174,,Käthe-Kollwitz-Straße 23,16540,Hohen Neuendorf
11268687350,52.6701275,13.2863488,,,,
12118950889,52.4896852,13.3957605,cambio,,,
12400195590,52.5486831,13.4127871,Cambio,,,
12891470287,52.5485664,13.4128394,cambio CarSharing - Station Schönhauser,Kopenhagener Straße 78,10437,Berlin
12891747547,52.4949948,13.414079,cambio CarSharing - Station Admiral-Jelbi,Planufer 85,10967,Berlin
12891766078,52.4971278,13.3917197,cambio CarSharing - Station Blücherplatz,Blücherplatz 3,10961,Berlin
12979828797,52.4986966,13.407865,Jelbi U Prinzenstraße,,,
13062273477,52.4961058,13.4274822,,,,
13062308746,52.504043,13.4179173,,,,
13062358511,52.5017514,13.4243046,,,,
13062387409,52.5002696,13.4269884,,,,
13084955493,52.4901674,13.3532814,,,,
