id,points_of_interest
0000,109
1100101,9
1100102,125
1100103,8
1100104,4
1100205,5
1100206,88
1100207,8
1100308,18
1100309,21
1100310,48
1100311,6
1100312,16
1100313,1
1100414,4
1100415,4
1100416,8
1200517,6
1200520,5
1200522,3
1200623,3
1200624,6
1200625,2
1200626,8
1200627,5
1200628,5
1200629,12
1300730,1
1300731,3
1300732,4
1300733,3
1300834,1
1300835,3
1300836,7
1400937,3
1400938,18
1400940,3
1400942,4
1401043,2
1401044,4
1401045,3
1401046,4
1401048,1
1401049,3
2100101,7
2100102,17
2100103,3
2100104,1
2100105,5
2100106,13
2200207,3
2200208,7
2200209,5
2200210,2
2200211,2
2200213,2
2300314,6
2300315,2
2300316,18
2300417,1
2300418,2
2300419,5
2400520,19
2400521,2
2400522,6
2400623,37
2400624,4
2400625,105
2500727,4
2500832,1
2500833,5
2500834,6
2500835,3
2500836,1
3100101,26
3100102,1
3100103,5
3200204,3
3200206,5
3200207,3
3200309,1
3200310,1
3300411,1
3300514,1
3400618,1
3400619,1
3400620,9
3400721,3
3400722,11
3400723,5
3400724,4
3400826,2
3400827,1
3500932,12
3500933,14
3500934,1
3500935,1
3500936,2
3501037,5
3501038,5
3601140,2
3601141,1
3601142,4
3601243,3
3601244,3
3601245,3
3601346,3
3601449,8
3601450,7
3601451,2
3701554,4
3701555,2
3701556,2
3701657,6
3701658,2
3701659,5
3701660,4
4100101,6
4100102,1
4200203,30
4200204,1
4200205,8
4200207,5
4200308,4
4200309,2
4200310,8
4200311,6
4300412,32
4300413,4
4300414,13
4300415,8
4300416,1
4300518,1
4300619,4
4300620,6
4300621,5
4300622,17
4300623,2
4300624,6
4400726,6
4400727,3
4400729,2
4400830,5
4400832,1
4400833,3
4400834,2
4400835,2
4500936,4
4500937,6
4500938,3
4500939,8
4501040,6
4501041,13
4501042,17
4501043,13
4501044,4
4501045,5
4501146,11
4501147,2
4501148,3
4501150,2
4501153,5
5100101,5
5100209,1
5100313,2
5100316,2
5200420,1
5200527,3
5200631,1
5200634,4
5300736,1
5300737,1
5300839,8
5300840,1
5300841,2
5400942,7
5400943,9
5400944,1
6100101,2
6100204,4
6100205,2
6100206,3
6100208,1
6100209,1
6200312,1
6200315,2
6200419,1
6300526,3
6300528,5
6300629,3
6300632,4
6400735,32
6400736,2
6400737,8
6400838,3
6400839,1
6400840,2
6400842,3
6400843,12
6400844,1
7100101,3
7100102,4
7100103,3
7100204,7
7100205,12
7200307,3
7200308,2
7200409,6
7200413,5
7300517,2
7300618,2
7300619,2
7400720,2
7400721,5
7400822,14
7400824,2
7400826,2
7400927,6
7400928,2
7501029,1
7501134,1
7601341,1
7601442,1
8100101,2
8100102,2
8100206,5
8100207,10
8100208,9
8100209,3
8100310,1
8100311,2
8100312,4
8100314,3
8100415,1
8100416,9
8100417,2
8100520,4
8100521,12
8200622,1
8200623,3
8200726,9
8200727,3
8200728,1
8200729,53
8200730,2
8200832,1
8200833,2
8300935,1
8301036,1
8301037,2
8401139,1
9100101,34
9100202,4
9100203,23
9100304,14
9100305,2
9100306,6
9100407,11
9100408,7
9100409,1
9200510,1
9200511,13
9200512,86
9200613,5
9200614,3
9200715,7
9200716,1
9200717,2
9200818,2
9200819,2
9300920,2
9300922,1
9300923,2
9301024,1
9301025,1
9301126,4
9401329,2
9401330,3
9401431,2
9401432,2
9401433,10
9401534,29
9501736,1
9501737,15
9501838,5
9501939,2
9501941,4
9502042,1
9502043,4
10100101,5
10100102,3
10100103,5
10100104,6
10100206,1
10100207,4
10100208,7
10100210,15
10100311,3
10100312,25
10100313,2
10100314,3
10100315,5
10100316,8
10200417,4
10200418,2
10200420,10
10200421,2
10200422,1
10200423,2
10200524,1
10200525,4
10200627,1
10200628,4
10200629,4
10200630,3
10300732,3
10300733,4
10300734,1
10400835,2
10400836,4
10400938,1
10400941,1
11100101,2
11100102,2
11100203,5
11100204,4
11100205,3
11100206,3
11100307,1
11100308,10
11100309,1
11200411,1
11200512,5
11200513,2
11200514,2
11300617,21
11300620,2
11300721,5
11300722,14
11300723,1
11300725,3
11300826,6
11400927,5
11400928,7
11400929,12
11400930,1
11400931,15
11401032,9
11401034,121
11401135,3
11401136,12
11401137,5
11501339,6
11501340,4
11501341,2
12100101,15
12100102,4
12100103,19
12100204,8
12100205,11
12100206,3
12200307,2
12200309,2
12200310,1
12200412,1
12200413,9
12200414,1
12200515,5
12400618,1
12400721,4
12400722,1
12500927,2
12601133,2
12601134,1
