id,points_of_interest
00,29
11001,11
11002,4
11003,21
11004,8
12005,7
12006,15
13007,2
13008,9
14009,5
14010,8
21001,14
22002,16
23003,7
23004,5
24005,8
24006,5
25007,2
25008,11
31001,3
32003,1
33004,1
33005,2
34006,2
34007,4
35009,2
35010,1
36011,5
36012,4
36013,3
36014,6
37015,12
37016,6
41001,2
42003,1
43004,6
43005,2
43006,10
44007,1
45009,6
45010,9
45011,5
51001,6
51002,1
51003,2
52004,1
52005,2
52006,4
53007,4
53008,1
54009,3
61001,3
61002,6
62003,2
63005,4
63006,5
64007,1
64008,5
71001,5
71002,3
72003,1
72004,9
73005,4
73006,3
74007,4
74009,2
75010,3
75011,1
76014,1
76015,1
81001,4
81002,4
81003,9
81004,4
81005,3
82007,3
82008,1
83010,1
84012,2
91001,3
91002,1
91003,3
91004,1
92005,5
92007,2
92008,1
93009,2
93010,1
94013,3
94015,2
95017,2
95018,1
95019,1
95020,1
101001,1
101002,1
101003,3
102004,2
102006,1
103007,3
104008,1
104009,2
111002,2
111003,1
112004,3
113006,6
113007,11
113008,1
114009,8
114010,2
114011,4
115012,1
115013,3
121001,1
121002,1
122003,2
122005,2
124006,2
124007,2
125008,1
125009,1
126010,1
126011,1
