id,points_of_interest
00,1707
11001,53
11002,51
11003,112
11004,13
12005,44
12006,66
13007,29
13008,56
14009,41
14010,39
21001,54
22002,75
23003,36
23004,15
24005,18
24006,36
25007,3
25008,43
31001,51
32002,72
32003,29
33004,42
33005,64
34006,58
34007,47
34008,36
35009,45
35010,31
36011,8
36012,13
36014,22
37015,4
37016,7
41001,58
42002,43
42003,94
43004,39
43005,20
43006,63
44007,55
44008,48
45009,42
45010,52
45011,53
51001,55
51002,93
51003,86
52004,50
52005,60
52006,75
53007,37
53008,37
54009,89
61001,34
61002,78
62003,78
62004,100
63005,93
63006,101
64007,125
64008,118
71001,29
71002,17
72003,22
72004,31
73005,28
73006,27
74007,44
74008,66
74009,35
75010,54
75011,43
76012,44
76013,38
76014,27
76015,67
81001,32
81002,28
81003,30
81004,38
81005,40
82006,38
82007,55
82008,60
83009,21
83010,19
84011,19
84012,125
91001,25
91002,21
91003,50
91004,47
92005,21
92006,23
92007,47
92008,20
93009,68
93010,43
93011,10
93012,25
94013,21
94014,18
94015,16
94016,21
95017,23
95018,45
95019,24
95020,26
101001,22
101002,42
101003,57
102004,28
102005,14
102006,19
103007,81
104008,76
104009,91
111001,33
111002,27
111003,10
112004,31
112005,17
113006,14
113007,42
113008,1
114009,37
114010,24
114011,25
115012,12
115013,31
121001,44
121002,66
122003,39
122004,50
122005,20
124006,87
124007,92
125008,40
125009,98
126010,23
126011,34
126012,30
