id,points_of_interest
00,100
11001,32
11002,72
11003,156
11004,64
12005,37
12006,49
13007,22
13008,26
14009,29
14010,48
21001,37
22002,118
23003,46
23004,52
24005,8
24006,16
25007,29
25008,90
31001,3
32002,11
33004,2
33005,3
34006,6
34007,20
34008,7
35009,17
35010,3
36011,39
36012,12
36013,45
36014,4
37015,73
37016,38
41001,2
42002,3
42003,15
43004,61
43005,5
43006,98
44007,7
44008,16
45009,28
45010,117
45011,37
51001,8
51003,15
52004,2
52006,17
53007,3
53008,1
54009,10
61001,32
61002,17
62003,4
62004,6
63005,7
63006,16
64007,11
64008,32
71001,47
71002,30
72003,15
72004,56
73005,20
73006,6
74007,6
74008,13
74009,6
75010,8
75011,5
76012,3
76014,3
76015,4
81001,46
81002,51
81003,57
81004,37
81005,2
82006,4
82007,6
83009,3
83010,3
84012,5
91001,13
91002,2
91003,5
91004,4
92005,8
92006,5
92007,12
92008,2
93009,3
93010,2
93011,4
93012,2
94013,1
94015,7
94016,2
95017,7
95018,2
101001,2
101002,5
101003,9
102004,2
102005,2
102006,1
103007,7
104008,1
104009,6
111001,2
112004,3
112005,6
113006,5
113007,16
113008,1
114009,14
114010,2
114011,6
115012,4
115013,7
121001,8
121002,7
122003,3
122004,3
122005,13
124006,4
124007,8
125008,2
125009,3
126010,1
126011,3
126012,2
