id,points_of_interest
0000,100
1100101,1
1100102,21
1100103,2
1100104,8
1100205,19
1100206,39
1100207,14
1100308,33
1100309,67
1100310,36
1100311,2
1100312,12
1100313,6
1100414,2
1100415,31
1100416,31
1200517,1
1200518,3
1200519,8
1200520,11
1200521,7
1200522,7
1200623,9
1200624,10
1200625,7
1200626,7
1200628,10
1200629,6
1300730,7
1300731,2
1300732,2
1300733,11
1300834,6
1300835,5
1300836,15
1400937,3
1400938,15
1400942,11
1401043,5
1401044,5
1401045,3
1401046,10
1401047,8
1401048,10
1401049,7
2100101,5
2100102,14
2100103,4
2100104,7
2100105,3
2100106,4
2200207,10
2200208,8
2200209,13
2200210,11
2200211,32
2200212,12
2200213,32
2300314,31
2300315,12
2300316,3
2300417,19
2300418,9
2300419,24
2400520,1
2400521,2
2400522,5
2400623,3
2400624,6
2400625,7
2500726,5
2500727,5
2500728,15
2500729,4
2500830,7
2500831,5
2500832,5
2500833,42
2500834,23
2500835,4
2500836,4
3100102,1
3100103,2
3200204,3
3200205,2
3200206,3
3200207,3
3300411,1
3300412,1
3300514,1
3300516,2
3400618,1
3400619,4
3400620,1
3400721,9
3400722,3
3400723,5
3400724,1
3400725,2
3400826,4
3400827,1
3400828,1
3400830,1
3500932,1
3500933,4
3500934,4
3500935,5
3500936,3
3501037,1
3501038,2
3601139,4
3601140,2
3601141,9
3601142,24
3601243,6
3601244,3
3601245,3
3601346,9
3601347,20
3601348,16
3601450,1
3601451,2
3601453,1
3701554,34
3701555,15
3701556,24
3701657,2
3701658,4
3701659,13
3701660,19
4100101,2
4200205,1
4200207,2
4200308,3
4200310,6
4200311,6
4300412,4
4300413,11
4300414,17
4300415,3
4300416,26
4300517,2
4300518,3
4300619,6
4300620,8
4300621,10
4300622,17
4300623,28
4300624,29
4400727,4
4400728,3
4400830,4
4400831,1
4400832,2
4400834,3
4400835,6
4500936,12
4500937,8
4500938,7
4500939,1
4501040,15
4501041,29
4501042,40
4501043,12
4501044,11
4501045,10
4501146,3
4501147,1
4501148,1
4501149,10
4501150,4
4501151,7
4501152,6
4501153,5
5100101,2
5100103,1
5100104,4
5100105,1
5100312,1
5100313,1
5100314,2
5100315,1
5100316,10
5200420,1
5200423,1
5200629,8
5200630,5
5200634,4
5300736,2
5300737,1
5300839,1
5400942,5
5400943,2
5400944,3
6100101,1
6100102,20
6100103,11
6100206,6
6100207,3
6100208,2
6100209,6
6200313,3
6200317,1
6200420,1
6200421,3
6200422,1
6200423,1
6300524,1
6300526,6
6300629,2
6300632,1
6300633,9
6300634,4
6400735,4
6400736,1
6400737,6
6400838,4
6400839,2
6400840,2
6400841,1
6400842,3
6400843,15
6400844,5
7100101,20
7100102,16
7100103,11
7100204,19
7100205,4
7100206,7
7200307,7
7200308,8
7200409,20
7200410,9
7200411,10
7200412,1
7200413,11
7200414,5
7300515,5
7300516,7
7300517,8
7300618,3
7300619,3
7400720,5
7400721,1
7400822,2
7400823,1
7400824,6
7400825,4
7400927,5
7400928,1
7501029,3
7501030,4
7501032,1
7501133,2
7501134,3
7601236,1
7601237,1
7601238,1
7601442,3
7601544,3
7601546,1
8100101,5
8100102,16
8100103,11
8100104,10
8100105,4
8100206,20
8100207,3
8100208,23
8100209,5
8100310,12
8100311,19
8100312,12
8100313,1
8100314,13
8100415,12
8100416,9
8100417,11
8100418,3
8100419,2
8100521,2
8200623,1
8200624,3
8200726,2
8200727,1
8200729,3
8300934,2
8300935,1
8301037,3
8401242,1
8401243,3
8401244,1
9100101,13
9100202,2
9100304,4
9100306,1
9100407,1
9100408,2
9100409,1
9200511,6
9200512,2
9200613,5
9200715,7
9200716,4
9200717,1
9200818,1
9200819,1
9300920,1
9300922,1
9300923,1
9301024,1
9301025,1
9301126,4
9301228,2
9401330,1
9401534,7
9401635,2
9501737,7
9501838,2
10100101,1
10100103,1
10100208,1
10100209,1
10100210,3
10100312,4
10100313,2
10100315,1
10100316,2
10200417,1
10200421,1
10200524,2
10200629,1
10300732,5
10300733,1
10300734,1
10400835,1
10400938,1
10400939,2
10400940,1
10400941,2
11100101,1
11100102,1
11200411,3
11200512,1
11200513,2
11200514,2
11200515,1
11300616,1
11300617,2
11300619,1
11300620,1
11300721,4
11300722,6
11300724,3
11300725,3
11300826,1
11400927,1
11400929,10
11400930,1
11400931,2
11401034,2
11401135,2
11401136,1
11401137,3
11501238,4
11501340,2
11501341,5
12100101,5
12100102,1
12100103,2
12100204,6
12100205,1
12200307,1
12200309,2
12200411,1
12200412,2
12200515,13
12400616,1
12400618,1
12400619,2
12400721,4
12400722,1
12400723,3
12500824,2
12500927,1
12500928,1
12500930,1
12601032,1
12601134,3
12601235,1
12601236,1
