id,points_of_interest
0000,4
1100311,1
1100415,2
1200518,1
1200519,1
1300730,2
1300836,1
1400939,2
1401043,3
1401046,2
1401048,1
1401049,1
2200212,1
2400624,2
2500727,1
2500728,1
2500830,1
2500831,1
2500833,1
2500834,2
2500835,1
3100101,1
3200207,1
3400619,2
3400620,1
3400721,1
3400722,2
3400829,1
3500936,2
3601243,1
3701658,2
3701660,1
4300414,1
4300517,2
4300518,1
4300619,1
4300621,2
4300622,1
4300624,1
4400830,1
4501044,1
4501153,1
5100103,1
5100105,1
5200629,1
5200630,2
6300633,1
6400839,1
7100101,2
7100102,1
7200414,1
7300618,1
7400720,1
7400825,3
7601237,1
7601340,1
8100105,1
8100208,3
8100314,1
8100416,3
8100417,1
8200624,1
8200727,1
9100409,1
9200716,2
9501736,1
9501940,1
10100101,1
10100208,1
10100311,1
11100205,1
11300721,3
11400927,1
11400929,1
12100103,1
12100204,2
12100205,2
