id,points_of_interest
0000,3
1100102,2
1100206,1
1100309,2
1100310,2
1100313,1
1100415,1
1100416,1
1200624,2
1300835,1
1300836,1
1400941,1
2100104,1
2200209,1
2200212,1
2200213,1
2300314,2
2400522,1
2400625,2
2500830,1
2500833,1
2500835,1
3200206,1
3500934,1
3500935,1
3601142,1
3601243,1
3701554,1
3701556,1
3701660,1
4300416,1
4300622,2
4300623,1
4501041,2
4501042,1
4501146,1
4501153,1
5100316,4
6100103,1
7100101,1
7200410,1
7300516,1
7300517,1
7400927,1
8100101,1
8100206,3
8100310,1
8100311,1
8100416,1
8100418,1
8300934,1
9200510,1
9200716,1
10100210,1
10200421,1
10200524,1
12200515,1
