id,points_of_interest
0000,38
1100102,3
1100104,4
1100205,1
1100206,1
1100207,2
1100308,8
1100309,15
1100310,11
1100311,2
1100312,7
1100313,1
1100415,6
1100416,12
1200517,3
1200518,5
1200519,3
1200520,5
1200521,5
1200522,6
1200623,7
1200624,1
1200625,5
1200626,2
1200627,1
1200628,1
1200629,1
1300730,10
1300731,5
1300732,8
1300733,7
1300834,5
1300835,3
1300836,10
1400937,4
1400938,6
1400939,1
1400942,11
1401043,6
1401044,9
1401045,6
1401046,9
1401047,9
1401048,9
1401049,4
2100101,3
2100102,3
2100103,5
2100104,2
2100105,5
2100106,2
2200208,1
2200209,4
2200210,6
2200211,7
2200212,3
2200213,14
2300314,9
2300315,10
2300316,4
2300417,5
2300418,3
2300419,12
2400521,2
2400522,5
2400623,4
2400624,5
2400625,2
2500726,11
2500727,4
2500728,12
2500729,2
2500830,8
2500831,6
2500832,8
2500833,28
2500834,15
2500835,8
3200205,1
3200206,1
3200309,1
3200310,1
3300516,1
3400619,1
3400721,4
3400722,1
3400723,3
3400826,3
3400827,2
3400828,1
3400830,1
3400831,1
3500933,2
3500934,3
3500935,5
3500936,9
3501038,1
3601139,1
3601140,1
3601141,9
3601142,10
3601243,5
3601244,3
3601245,3
3601346,7
3601347,7
3601348,9
3601449,1
3601451,1
3701554,12
3701555,7
3701556,3
3701658,2
3701659,6
3701660,4
4100102,1
4200205,1
4200310,2
4200311,2
4300413,4
4300414,1
4300415,1
4300416,3
4300518,1
4300619,3
4300620,2
4300621,6
4300622,2
4300623,14
4300624,4
4400729,1
4400830,1
4400832,2
4400834,2
4400835,2
4500936,1
4500937,1
4500938,1
4500939,1
4501040,4
4501041,1
4501042,3
4501044,4
4501045,3
4501146,1
4501147,3
4501148,1
4501149,3
4501150,4
4501151,1
4501152,2
5100103,1
5100312,1
5100316,7
5200419,1
5200527,2
5200630,4
5200631,1
5200634,1
5300737,2
5300839,2
5400942,1
6100102,3
6100103,3
6100205,1
6100206,2
6100207,4
6200313,3
6200314,1
6200316,1
6200422,4
6300526,1
6300528,1
6300633,3
6400735,2
6400838,1
6400839,1
6400840,1
6400841,2
7100101,1
7100102,3
7100103,1
7100204,1
7100205,4
7100206,4
7200307,1
7200308,7
7200409,8
7200410,3
7200411,4
7200413,2
7200414,2
7300516,1
7300517,4
7300618,2
7300619,1
7400720,4
7400823,1
7400824,3
7400825,2
7400826,1
7400927,2
7501030,2
7501031,2
7501133,1
7501134,1
7601442,1
7601545,1
8100101,4
8100102,7
8100103,7
8100104,7
8100105,4
8100206,9
8100207,5
8100208,7
8100209,4
8100310,5
8100311,10
8100312,9
8100314,9
8100415,7
8100416,1
8100417,4
8100418,4
8100520,1
8100521,1
8200622,1
8200623,1
8200624,3
8200726,1
8300935,2
8401138,1
8401245,1
8401246,1
9100101,8
9100304,6
9100306,1
9100407,1
9100409,1
9200510,3
9200511,6
9200613,4
9200715,1
9200716,1
9200717,3
9301025,1
9301126,3
9401534,2
9501737,1
9501939,4
9501940,1
10100101,1
10100208,1
10100311,1
10200524,1
10200526,1
10200629,1
10300731,2
10300734,1
10400835,1
10400836,1
11100204,1
11100309,1
11200410,1
11200411,2
11200514,1
11200515,1
11300620,1
11300722,3
11300724,1
11300725,4
11300826,2
11400927,1
11400928,2
11400929,12
11400930,1
11400931,3
11401032,1
11401135,3
11401136,1
11501238,1
12100101,7
12100102,2
12100103,2
12100204,5
12100205,2
12200309,3
12200515,9
12400619,1
12500825,1
