id,points_of_interest
0000,186
1100101,1
1100102,1
1100103,1
1100104,1
1100205,1
1100206,5
1100207,7
1100308,6
1100309,8
1100310,2
1100313,1
1100414,2
1100415,7
1100416,7
1200519,3
1200520,2
1200521,4
1200522,5
1200623,1
1200626,6
1200629,4
1300730,3
1300731,1
1300732,1
1300733,5
1300834,2
1300835,2
1300836,8
1400937,2
1400938,9
1400939,3
1400940,1
1400942,11
1401043,2
1401045,3
1401046,1
1401047,2
1401048,1
2100101,4
2100102,8
2100104,2
2100105,1
2200208,1
2200209,5
2200210,4
2200211,9
2200213,6
2300314,5
2300315,3
2300316,1
2300417,2
2300418,3
2300419,2
2400520,1
2400522,4
2400623,3
2400624,9
2400625,1
2500726,5
2500727,2
2500728,6
2500729,1
2500831,3
2500832,4
2500833,2
2500834,5
2500835,2
2500836,1
3100103,2
3200205,2
3200206,6
3200207,4
3200308,1
3300411,3
3300412,2
3300514,3
3300516,2
3400619,2
3400721,4
3400722,1
3400723,12
3400826,5
3400827,2
3400830,4
3500933,3
3500934,1
3500935,4
3500936,10
3501038,3
3601139,1
3601140,4
3601141,7
3601142,9
3601243,4
3601245,2
3601346,3
3601347,6
3601348,10
3601449,7
3601450,4
3601451,4
3701554,5
3701555,10
3701556,5
3701658,14
3701659,5
3701660,8
4100101,1
4200308,3
4200309,1
4200310,3
4200311,1
4300413,2
4300414,1
4300415,2
4300416,3
4300517,2
4300518,3
4300619,1
4300621,8
4300622,7
4300623,9
4300624,15
4400726,3
4400727,1
4400728,1
4400729,1
4400830,2
4400832,2
4400834,6
4400835,16
4500936,1
4500937,10
4500938,16
4500939,5
4501040,6
4501041,10
4501042,13
4501043,6
4501044,3
4501045,1
4501147,4
4501148,2
4501149,3
4501150,6
4501151,20
4501152,3
4501153,9
5100105,2
5100210,1
5100315,2
5100316,7
5100317,1
5200423,2
5200527,2
5200629,1
5200630,8
5200631,1
5200633,1
5300737,1
5300840,1
5300841,1
5400942,8
5400944,2
6100101,12
6100102,48
6100103,16
6100204,1
6100205,1
6100206,8
6100207,2
6100208,3
6100209,2
6200312,1
6200313,8
6200314,4
6200316,1
6200421,5
6200422,9
6300525,1
6300526,1
6300630,2
6300632,2
6300633,6
6300634,2
6400735,3
6400737,1
6400838,3
6400839,4
6400841,1
6400842,4
6400844,3
7100101,8
7100102,6
7100103,1
7100204,2
7100205,1
7100206,2
7200307,25
7200308,5
7200409,11
7200410,13
7200413,2
7300515,18
7300516,24
7300517,20
7300618,19
7300619,4
7400720,4
7400721,2
7400823,2
7400824,6
7400927,4
7501029,1
7501030,3
7501031,1
7501032,1
7501133,1
7501134,2
7601237,2
7601443,6
7601544,7
7601545,5
7601546,8
8100101,3
8100102,5
8100103,4
8100104,3
8100105,2
8100206,20
8100207,11
8100208,7
8100209,1
8100310,2
8100311,1
8100312,5
8100314,7
8100415,4
8100416,2
8100417,1
8100521,1
8200622,3
8200623,4
8200624,2
8200727,2
8200730,1
8200832,2
8300934,4
8300935,1
8401138,2
8401139,1
8401242,1
8401243,3
8401244,5
9100101,14
9100203,2
9100304,3
9100407,1
9100408,6
9200510,2
9200511,8
9200613,8
9200715,2
9200716,4
9200717,4
9200819,3
9300920,5
9300922,1
9301024,3
9301025,3
9301126,4
9401329,9
9401433,1
9401534,8
9401635,2
9501737,3
9501838,1
9501939,3
9502042,2
9502043,6
10100209,1
10100312,3
10200421,3
10200422,1
10200423,3
10200524,1
10200525,2
10200629,4
10300731,3
10300732,6
10300733,2
10400835,2
10400836,4
10400837,3
10400938,2
10400939,4
10400941,1
11100205,1
11100307,1
11100308,1
11200410,1
11200411,2
11200514,5
11300616,2
11300620,2
11300721,1
11300722,4
11300724,3
11300725,4
11300826,1
11400927,1
11400929,4
11400931,3
11401135,1
11401136,6
11401137,1
11501238,1
11501339,5
11501340,10
11501341,1
12100101,7
12100102,1
12100103,4
12100204,8
12100205,2
12200309,11
12200515,8
12400616,1
12400617,1
12400618,1
12400619,2
12400720,8
12400721,11
12400723,2
12500824,1
12500926,2
12601134,18
