id,points_of_interest
0000,191
1100101,1
1100102,15
1100103,6
1100104,4
1100205,19
1100206,21
1100207,11
1100308,9
1100309,37
1100310,50
1100311,2
1100312,3
1100313,8
1100415,13
1100416,6
1200517,7
1200518,7
1200519,9
1200520,13
1200521,17
1200522,5
1200623,7
1200624,6
1200625,4
1200626,6
1200628,5
1300730,8
1300731,4
1300732,2
1300733,14
1300834,7
1300835,3
1300836,22
1400937,8
1400938,16
1400939,2
1400940,1
1400942,15
1401043,3
1401044,6
1401045,7
1401046,9
1401047,14
1401048,4
1401049,5
2100101,3
2100102,14
2100103,4
2100104,5
2100105,7
2100106,4
2200207,3
2200208,5
2200209,9
2200210,12
2200211,22
2200212,8
2200213,12
2300314,26
2300315,12
2300316,2
2300417,20
2300418,8
2300419,16
2400520,1
2400521,4
2400522,1
2400623,13
2400624,6
2400625,15
2500726,6
2500727,4
2500728,14
2500729,15
2500830,5
2500831,6
2500832,6
2500833,32
2500834,20
2500835,7
3100101,1
3100103,3
3200205,2
3200206,6
3200207,1
3200308,1
3200310,2
3300411,3
3300412,4
3300516,2
3300517,1
3400618,4
3400619,5
3400721,6
3400722,2
3400723,10
3400724,1
3400725,1
3400826,4
3400828,2
3400831,1
3500933,3
3500934,6
3500935,6
3500936,7
3501037,2
3501038,1
3601140,4
3601141,4
3601142,19
3601243,4
3601244,4
3601245,2
3601346,4
3601347,11
3601348,9
3601449,3
3601450,2
3601451,4
3601452,3
3601453,4
3701554,16
3701555,12
3701556,9
3701657,1
3701658,1
3701659,3
3701660,8
4100101,2
4200205,2
4200207,5
4200308,1
4200310,5
4200311,8
4300412,3
4300413,4
4300414,6
4300415,3
4300416,9
4300517,6
4300518,6
4300619,5
4300620,7
4300621,7
4300622,8
4300623,40
4300624,8
4400728,1
4400830,3
4400832,4
4400833,1
4400834,1
4400835,3
4500936,3
4500937,2
4500938,4
4500939,1
4501040,7
4501041,4
4501042,25
4501043,9
4501044,3
4501045,6
4501146,2
4501147,5
4501148,3
4501149,4
4501150,3
4501151,2
4501152,2
4501153,6
5100103,2
5100105,2
5100206,1
5100208,1
5100209,2
5100312,4
5100313,2
5100314,3
5100315,3
5100316,17
5100317,1
5200419,1
5200423,1
5200524,2
5200527,4
5200528,3
5200629,17
5200630,10
5200631,12
5200634,2
5300736,2
5300737,5
5300839,1
5300840,2
5300841,9
5400943,1
5400944,1
6100101,1
6100102,20
6100103,11
6100204,1
6100205,5
6100206,4
6100207,3
6100208,2
6100209,1
6200312,1
6200313,8
6200314,1
6200315,1
6200316,1
6200317,2
6200419,1
6200420,2
6200421,4
6200422,5
6300525,2
6300526,10
6300528,1
6300629,3
6300630,4
6300631,2
6300633,7
6300634,1
6400735,2
6400736,1
6400737,6
6400838,2
6400839,2
6400841,2
6400842,2
6400843,7
6400844,1
7100101,7
7100102,16
7100103,12
7100204,7
7100205,3
7100206,5
7200307,12
7200308,16
7200409,16
7200410,6
7200411,12
7200413,3
7300515,1
7300516,6
7300517,10
7300618,5
7300619,6
7400720,8
7400822,4
7400823,4
7400824,11
7400825,7
7400927,10
7400928,2
7501029,1
7501030,6
7501031,6
7501133,6
7501134,2
7501135,1
7601236,3
7601237,3
7601339,1
7601340,2
7601341,1
7601442,6
7601544,10
7601545,1
7601546,1
7601547,1
8100101,3
8100102,21
8100103,3
8100104,12
8100105,6
8100206,17
8100207,8
8100208,10
8100209,6
8100310,4
8100311,8
8100312,8
8100314,25
8100415,9
8100416,6
8100417,6
8100418,2
8100419,2
8100520,1
8100521,4
8200622,2
8200623,3
8200624,5
8200725,1
8200726,1
8200727,4
8200728,1
8200729,8
8200730,2
8200831,1
8200832,6
8300934,4
8300935,3
8301036,1
8301037,3
8401138,2
8401139,3
8401241,2
8401242,1
8401243,7
8401244,1
8401245,4
9100101,17
9100202,1
9100203,3
9100304,11
9100305,2
9100306,1
9100407,1
9100408,2
9100409,2
9200510,7
9200511,9
9200512,2
9200613,13
9200715,14
9200716,4
9200717,1
9200819,6
9300920,3
9300921,1
9300922,3
9301024,4
9301025,2
9301126,2
9301228,1
9401329,2
9401431,3
9401433,2
9401534,5
9401635,3
9501737,4
9501838,2
9501939,18
9501941,3
9502043,1
10100102,1
10100103,5
10100104,1
10100205,2
10100206,2
10100207,1
10100208,2
10100209,2
10100210,5
10100311,4
10100312,4
10100314,3
10100316,5
10200417,2
10200418,1
10200421,5
10200423,1
10200524,5
10200525,1
10200526,3
10200628,1
10200629,6
10300731,3
10300733,3
10300734,1
10400835,1
10400836,3
10400938,6
10400939,2
10400940,1
11100204,1
11100205,2
11100206,7
11100307,9
11100308,6
11100309,1
11200410,2
11200411,5
11200512,1
11200513,9
11200514,6
11300616,1
11300617,5
11300618,1
11300619,1
11300620,1
11300721,3
11300722,7
11300724,4
11300725,10
11300826,4
11400927,5
11400928,2
11400929,13
11400931,3
11401032,1
11401033,2
11401034,1
11401135,3
11401136,2
11401137,4
11501238,1
11501339,1
11501341,2
12100101,3
12100102,5
12100103,2
12100204,3
12100205,7
12200307,3
12200308,2
12200309,7
12200310,4
12200411,1
12200412,3
12200515,17
12400616,1
12400617,2
12400619,3
12400720,1
12400722,3
12400723,2
12500824,3
12500825,2
12500926,8
12500927,1
12500928,1
12500929,2
12500930,1
12601031,1
12601032,2
12601133,1
12601134,6
12601235,1
12601236,3
