id,points_of_interest
00,22
11001,7
11002,1
11003,14
11004,4
12005,3
12006,4
13007,3
13008,3
14009,1
14010,5
21001,2
22002,22
23003,5
23004,5
24005,1
24006,5
25007,5
25008,12
31001,1
32002,2
33004,2
34007,5
34008,2
35009,4
36011,6
36012,3
36013,6
36014,1
37015,8
37016,5
42003,1
43004,4
43006,5
44007,1
44008,2
45009,2
45010,5
45011,6
51001,1
51003,2
53007,1
53008,1
54009,3
61001,4
61002,5
62003,3
62004,3
63005,3
63006,4
64008,3
71001,5
71002,2
72003,2
72004,7
73005,4
73006,2
74007,1
74008,1
74009,1
75011,1
76012,2
76013,1
76014,1
76015,2
81001,5
81002,3
81003,6
81004,4
82007,1
83010,1
84012,2
91001,4
91003,1
91004,1
92005,2
92006,1
93010,1
93011,3
94014,1
94015,3
95017,3
95018,1
101002,1
101003,1
102004,1
102005,1
102006,1
104008,1
104009,1
111001,1
111003,3
112005,2
113007,2
114009,3
114011,1
115013,2
121002,3
122003,2
122005,5
124006,1
124007,6
125009,3
