id,points_of_interest
0000,38
1100103,4
1100104,1
1100206,2
1100207,2
1100308,3
1100309,3
1100310,3
1100312,1
1100313,2
1100415,2
1100416,8
1200517,3
1200518,4
1200519,8
1200520,1
1200521,2
1200522,5
1200623,6
1200625,5
1200626,3
1200628,1
1200629,1
1300730,1
1300731,6
1300732,3
1300733,8
1300834,2
1300836,5
1400937,2
1400938,6
1400939,10
1400940,3
1400941,1
1400942,5
1401043,5
1401044,3
1401045,4
1401046,3
1401047,8
1401048,7
1401049,2
2100101,3
2100102,1
2100103,1
2100104,2
2100105,2
2100106,1
2200207,2
2200208,1
2200209,9
2200210,6
2200211,16
2200212,6
2200213,13
2300314,5
2300315,12
2300316,4
2300417,2
2300418,7
2300419,9
2400520,1
2400521,2
2400522,2
2400623,1
2400624,5
2400625,1
2500726,6
2500727,3
2500728,4
2500831,4
2500832,5
2500834,6
2500835,2
3100101,3
3100103,1
3200205,3
3200206,4
3200207,3
3200308,1
3200309,1
3200310,1
3400619,3
3400721,7
3400723,2
3400724,4
3400725,1
3400826,1
3400827,3
3400828,1
3400830,3
3500933,1
3500935,4
3500936,3
3601139,3
3601140,4
3601141,10
3601142,8
3601243,2
3601244,1
3601346,2
3601347,12
3601348,6
3601451,1
3601452,1
3601453,7
3701554,6
3701555,1
3701556,2
3701658,6
3701659,3
3701660,5
4100101,3
4100102,1
4200203,1
4200207,3
4200310,1
4200311,3
4300412,1
4300413,7
4300414,6
4300415,3
4300416,14
4300517,2
4300518,2
4300619,6
4300620,3
4300621,6
4300622,2
4300623,4
4300624,2
4400726,1
4400727,2
4400728,3
4400832,3
4400833,1
4400834,2
4400835,2
4500936,2
4500937,3
4500938,9
4500939,3
4501041,3
4501043,1
4501044,4
4501045,2
4501146,2
4501147,5
4501148,5
4501149,7
4501150,3
4501151,9
4501152,4
4501153,9
5100101,1
5100105,3
5100208,1
5100209,1
5100210,1
5100211,1
5100314,4
5100316,3
5100317,2
5200419,2
5200420,1
5200630,6
5200631,1
5200634,1
5300736,1
5300737,1
5300839,3
5300840,1
5400943,1
5400944,1
6100101,5
6100102,4
6100103,3
6100204,2
6100205,3
6100206,2
6100207,5
6100208,6
6100209,2
6100210,3
6200312,4
6200313,3
6200314,3
6200316,1
6200421,1
6200422,1
6200423,2
6300525,1
6300526,1
6300528,1
6300629,2
6300630,3
6300633,4
6400735,1
6400736,1
6400737,2
6400838,1
6400839,1
6400840,1
6400844,5
7100101,3
7100102,2
7100103,4
7100204,10
7100205,1
7100206,2
7200307,3
7200308,12
7200409,6
7200410,5
7200411,1
7200413,6
7200414,6
7300515,3
7300516,9
7300517,11
7300618,11
7300619,3
7400720,1
7400721,1
7400822,1
7400823,4
7400824,4
7400825,11
7400826,2
7400927,5
7501029,7
7501030,6
7501031,1
7501032,1
7501133,3
7501134,3
7501135,1
7601236,4
7601237,2
7601339,2
7601340,2
7601341,1
7601442,5
7601544,2
7601545,2
7601546,1
7601547,1
8100102,5
8100103,8
8100104,4
8100105,1
8100206,3
8100207,3
8100208,10
8100209,7
8100310,2
8100311,1
8100312,7
8100314,3
8100415,2
8100416,3
8100417,4
8100418,3
8100521,1
8200622,1
8200623,2
8200624,1
8200726,1
8200727,1
8200831,3
8200833,2
8300934,3
8300935,1
8301037,1
8401242,1
8401243,1
8401245,2
9100101,3
9100202,3
9100304,4
9100305,3
9100408,5
9200510,4
9200511,6
9200613,6
9200614,2
9200715,1
9200716,1
9200717,1
9200819,1
9300920,2
9301126,1
9301228,1
9401329,1
9401534,3
9501737,1
9501939,1
9501941,1
9502042,2
10100102,2
10100206,1
10100312,1
10200420,1
10200629,2
10200630,1
10300732,2
10300733,1
10400940,1
11100101,1
11100203,1
11100204,1
11100307,1
11200410,4
11200411,1
11200514,1
11200515,1
11300616,1
11300722,2
11300724,1
11300725,2
11400927,2
11400928,2
11400929,11
11400930,1
11401033,1
11401135,2
11501238,1
11501339,4
11501340,1
11501341,4
12100102,7
12100103,3
12100204,1
12100205,5
12200309,7
12200310,5
12200413,2
12200414,1
12200515,3
12400616,3
12400617,1
12400619,4
12400720,1
12400721,2
12400722,1
12400723,5
12500824,2
12500825,1
12500926,2
12500927,2
12500928,2
12500929,1
12500930,1
12601031,1
12601032,2
12601133,1
12601134,3
12601235,3
12601236,2
