id,points_of_interest
00,23
11001,3
11002,7
11003,7
11004,2
12005,2
12006,3
21001,1
22002,3
23003,1
23004,2
31001,1
33004,1
34006,1
34007,1
35009,1
36011,1
36014,1
37015,2
37016,2
41001,1
42003,1
43004,2
43006,6
44007,1
44008,2
45010,2
45011,1
51001,1
51002,1
51003,1
52005,1
53007,1
54009,1
61001,1
62003,1
64007,1
64008,7
71002,1
73006,1
76015,2
81002,3
83009,2
84012,1
92005,1
92006,1
92007,3
93009,1
95017,1
101002,1
101003,1
102004,1
102006,1
104009,1
111003,1
113006,1
113007,2
114010,1
114011,1
124007,2
126011,1
