id,name,street,zip_code,lat,lon,geojson_feature_id
73696610,Gedenkstätte Deutscher Widerstand,Stauffenbergstraße 13-14,,52.5076051,13.3629858,01100102
84644782,"Dokumentationszentrum Flucht, Vertreibung, Versöhnung",Stresemannstraße 90,10963.0,52.5048708,13.3822143,02100101
259855486,Berliner S-Bahn-Museum,Koppenstraße 3,10243.0,52.5104752,13.4327651,02400623
262973921,Heimatmuseum Erkner,,,52.412992,13.7516622,0
262987906,Gerhart-Hauptmann-Museum,Gerhart-Hauptmann-Straße 1-2,15537.0,52.4187724,13.7547511,0
268591806,Das Museum der Domäne Dahlem,,,52.4583565,13.2889441,06400844
281391655,Stasimuseum,Ruschestraße 103,10365.0,52.5145073,13.487485,11300724
292700476,Feuerwehrmuseum Berlin,Veitstraße 5,13507.0,52.5863068,13.2863134,12200515
292738889,Museum für Kommunikation,Leipziger Straße 16,10117.0,52.5099308,13.3872552,01100205
297049901,Heimatmuseum Köpenick,,,52.4453638,13.5790965,09401534
335860469,Ethnologisches Museum,,,52.4606001,13.2929563,06400844
340388625,Deutschlandmuseum,Leipziger Platz 7,10117.0,52.5087884,13.378434,01100205
344381412,Enthüllt. Berlin und seine Denkmäler,Am Juliusturm 64,13599.0,52.5412184,13.2138542,05300736
355500002,Erinnerungsstätte Notaufnahmelager Marienfelde,Marienfelder Allee 66/80,12277.0,52.4204028,13.3684502,07601236
369037135,Anti-Kriegs-Museum,Brüsseler Straße 21,13353.0,52.5460206,13.3479549,01400942
429739550,Mori-Ôgai-Gedenkstätte,Luisenstraße 39,10117.0,52.5219182,13.3799981,01100308
434562058,Heimatarchiv,,,52.3726982,13.6179047,0
448810258,Puppentheater-Museum Berlin,Karl-Marx-Straße 135,12043.0,52.4772885,13.4390108,08100207
453378190,Die Mauer | The Wall,Leipziger Platz 11,10117.0,52.5093664,13.3797713,01100205
498822384,Berliner Unterwelten-Museum,Brunnenstraße 105,13355.0,52.5478117,13.3892456,01300834
507083358,Heimatmuseum Zehlendorf,Clayallee 355,14169.0,52.4354496,13.2603049,06400841
538692583,Museum für Naturkunde,Invalidenstraße 43,10115.0,52.5304903,13.3791152,01100308
540613216,Galgenhaus Stadtmuseum Berlin,Brüderstraße 10,10178.0,52.5143734,13.4024859,01100207
545060231,Hugenottenmuseum Berlin,,10117.0,52.514289,13.3924292,01100206
545074057,Parlamentshistorische Ausstellung des Deutschen Bundestages,,10117.0,52.5126755,13.3927272,01100206
559613172,Heimatmuseum Treptow,,,52.4434519,13.5022281,09100407
577577509,Jugend[widerstands]museum,Rigaer Straße 9/10,10247.0,52.5177959,13.456325,02500727
611632754,Polizeimuseum,Platz der Luftbrücke 6,12101.0,52.4829728,13.3871677,07400721
632148988,FHXB Friedrichshain-Kreuzberg Museum,Adalbertstraße 95a,10999.0,52.5006018,13.4182215,02300314
661126964,Keramik-Museum Berlin,,,52.5171949,13.304034,04300621
701057032,Heimatmuseum Rudow,,,52.417445,13.495073,08401243
766728477,Geschichtsspeicher Fichtebunker,Fichtestraße 6,,52.4903398,13.4129258,02200212
766875174,Anna-Seghers-Gedenkstätte,Anna-Seghers-Straße 81,12489.0,52.4381707,13.5407192,09200716
849063657,WasserWerkstatt des WasserMuseum e.V.,Dillenburger Straße 57 (Tor 2),14199.0,52.4704996,13.3037544,04400832
1176948529,Heimatstube,,,52.3395821,13.3540007,0
1257857022,Museum Lichtenberg im Stadthaus,Türrschmidtstraße 24,10317.0,52.5029909,13.4808551,11400927
1260572076,Die Pankower Machthaber,,,52.5763987,13.4063769,03400722
1270188822,Computerspielemuseum,Karl-Marx-Allee 93a,10243.0,52.517579,13.4419522,02400522
1276289064,Weberstube Nowawes,Karl-Liebknecht-Straße 23,14482.0,52.3941571,13.0930717,0
1358325721,Berliner U-Bahn-Museum,,14052.0,52.5173541,13.2499733,04200203
1390712121,Das Verborgene Museum,,,52.5080398,13.3184593,04300624
1476011662,Zille-Museum,Propststraße 11,10178.0,52.5164895,13.4063144,01100310
1505273433,Kunstgewerbemuseum,,,52.4440329,13.5728521,09401534
1583408273,Museum Pankow,Heynstraße 8,13187.0,52.5642198,13.4024579,03400721
1653339015,Museum Blindenwerkstatt Otto Weidt,Rosenthaler Straße 39,10178.0,52.5242943,13.4021873,01100309
1827559268,Werkbund Berlin,Goethestraße 13B,10623.0,52.5090606,13.3184486,04300624
1867566597,Forum Willy Brandt Berlin,Behrenstraße 15,10117.0,52.5153117,13.3863294,01100206
1874529830,Ausstellungen in der Kleinen Orangerie am Schloss Charlottenburg,Spandauer Damm 22,14059.0,52.5199022,13.2936163,04300412
2033362563,Berliner Medizinhistorisches Museum der Charité,Charitéplatz 1,10117.0,52.526136,13.3745186,01100308
2164030082,Anne Frank Zentrum,Rosenthaler Straße 39,10178.0,52.5244928,13.4019195,01100309
2321948745,Uhrenmuseum,Rheinstraße 59,12159.0,52.4699672,13.3340538,07300618
2335146075,Das Gotische Haus,,,52.5376859,13.2067237,05100316
2360277462,"Bezirksmuseum Marzahn-Hellersdorf, Haus 2",,,52.543492,13.5619103,10100313
2401869345,Mauermuseum,Friedrichstraße 43-45,10969.0,52.5071871,13.390676,02100102
2733904737,Waldmuseum,Königsweg 4,14193.0,52.4871137,13.2512169,04200207
2807497298,Lippenstiftmuseum,,,52.4883396,13.3340771,04501152
2807538150,DDR-Museumswohnung WBS 70,Hellersdorfer Straße 179,12627.0,52.5342987,13.5930033,10200420
2807587974,Museum der Unerhörten Dinge,,,52.4869923,13.3586756,07200411
2818117012,Schwules Museum *,Lützowstraße 73,10785.0,52.5042512,13.3582193,01100103
2845403101,Judo Welt-Museum,Alt-Mariendorf 21,,52.440493,13.3911183,07501134
2853421751,Spandovia Sacra – Museum mit Bibliothek und Archiv,,,52.5387799,13.2056528,05100316
2959465154,C/O Berlin,Hardenbergstraße 22-24,10623.0,52.5065947,13.3306266,04300622
2971387933,Ramones Museum,Weserstraße 159,12045.0,52.4824813,13.4430897,08100418
3203167561,Deutsches Historisches Museum,Unter den Linden 2,10117.0,52.5177477,13.3970225,01100206
3255895792,Trabi Museum,Zimmerstraße 14-15,10969.0,52.507451,13.38865,02100102
3286852557,Heimatmuseum Woltersdorf,,,52.4500238,13.7552734,0
3354056742,Rotkreuz-Museum,Bachestraße 11,12161.0,52.4743009,13.3268744,07300515
3513338376,Berliner Stadtmodelle,,,52.5132378,13.4159972,01100312
3676215899,Menschen Museum,Panoramastraße 1A,10178.0,52.5205791,13.4089041,01100310
3749451170,Deutsches Spionagemuseum,Leipziger Platz 9,10117.0,52.5090125,13.3792937,01100205
3755207008,Museum Europäischer Kulturen,,,52.45556,13.292635,06400843
3917330120,Steglitz Museum,Drakestraße 64a,12205.0,52.4372564,13.3026687,06300634
3977880885,Gutshof Gatow,Buchwaldzeile 43,14089.0,52.4849396,13.1817243,05400942
4197069045,Sporttauchermuseum,,12557.0,52.4192977,13.5877844,09401330
4210852779,Wassersportmuseum,,,52.4119793,13.5874462,09301126
4261575774,Museum der Stille,Linienstraße 154A,10115.0,52.5275656,13.3936942,01100309
4269824816,Museum Historischer Ort Krumpuhler Weg,,,52.5736393,13.2727004,12200412
4366611765,Flakturmruine Volkspark Humboldthain,,,52.5474588,13.3850341,01300835
4388867424,Madame Tussauds,Unter den Linden 74,10117.0,52.5168416,13.3816742,01100206
4418867395,Buchstabenmuseum,,10557.0,52.5199506,13.344761,01200629
4491488301,Helmut Newton Foundation,,,52.5080191,13.3320045,04300622
4511961891,Magicum,,,52.5247205,13.3990907,01100309
4708547016,Urban Nation,Bülowstraße 7,10783.0,52.4986678,13.3566505,07100103
4725890783,Samurai Museum Berlin,Auguststraße 68,10117.0,52.5268086,13.3953314,01100309
4833616123,Braun-Sammlung Ettel Museum für Design,Elberfelder Straße 37,10555.0,52.5241479,13.3363579,01200522
4838662169,Hanf Museum Berlin,Mühlendamm 5,10178.0,52.5163681,13.4079912,01100310
5051474599,David Hasselhoff Museum,,,52.530145,13.401996,01100416
5119217259,Designpanoptikum,Poststraße 7,10178.0,52.5168725,13.4060339,01100310
5186166877,Polyrama,Stuttgarter Platz 2,,52.5057864,13.3058261,04300623
5306246621,Kindl - Zentrum für zeitgenössische Kunst,Am Sudhaus 3,12053.0,52.4794637,13.431275,08100206
5477244581,Tauthaus,,,52.4452795,13.4470296,08200727
5493352632,Julia Stoschek Collection Berlin,Leipziger Straße 60,10117.0,52.5112602,13.39626,01100207
5498079821,Künstlerhaus Bethanien,,,52.4971249,13.4188484,02100106
5504502639,KiKuFri,Bundesplatz 17,10715.0,52.4795502,13.3302646,04501153
5688015226,Hatch Sticker Museum,Schreinerstraße 10,10247.0,52.5173218,13.4645632,02500728
5723205465,Jagdschloss Grunewald,Hüttenweg 100,14193.0,52.4673699,13.2615082,06400842
5875331486,Illuseum Berlin,Karl-Liebknecht-Straße 9,10178.0,52.5215057,13.4069139,01100310
6119371020,Culinarium,,,52.4588463,13.2894689,06400844
6474864586,Alice – Museum für Kinder,,,52.4609975,13.5500961,09200512
6475506035,Museum des Kapitalismus,Köpenicker Straße 127,10997.0,52.5043179,13.4348363,02300316
6522039698,Tempelhof Museum,Alt-Mariendorf 43,12107.0,52.4395718,13.3854756,07501133
6578042743,Gipsformerei,Sophie-Charlotten-Straße 17/18,14059.0,52.5192079,13.2862663,04300412
6834779786,Little Big City,Panoramastraße 1A,10178.0,52.520848,13.4084747,01100310
6880841995,Museum Pankow,Prenzlauer Allee 227/228,10405.0,52.5333155,13.4202437,03701556
6880841996,MACHmit! Museum für Kinder,Senefelderstraße 5/6,10437.0,52.5405294,13.4226724,03601348
7063453003,Sammlung Scharf-Gerstenberg,Schloßstraße 70,14059.0,52.5192239,13.2971723,04300414
7063483104,Abguss-Sammlung Antiker Plastik,Schloßstraße 69B,14059.0,52.5188495,13.2975972,04300414
7274621179,Zimmermeister Brunzel baut ein Mietshaus,Dunckerstraße 77,10437.0,52.543528,13.4214133,03601347
8413352835,Humboldt Forum,,10178.0,52.5170316,13.4012274,01100206
8428338215,Militär-Historisches Museum Berlin-Gatow,,14089.0,52.4719263,13.1386768,05400943
8888473363,Tränenpalast,Reichstagufer 17,10117.0,52.5209131,13.3871461,01100206
8941022529,Historische Landmaschinen-Ausstellung,,,52.6630365,13.6349776,0
8941022530,Historische Bügeleisen-Ausstellung,,,52.6628113,13.6353608,0
8946648417,Erdemuseum,Weichselstraße 52,12045.0,52.4865039,13.4357058,08100312
9272790617,Disgusting Food Museum,Schützenstraße 70,10117.0,52.5087918,13.3913957,01100207
9275262971,Architekturmuseum,,,52.5136141,13.3238223,04300622
9277014760,Friedrichswerdersche Kirche,Werderscher Markt 1,10117.0,52.5158884,13.3975159,01100206
9689247850,Haus des Papiers,Seydelstraße 30,10117.0,52.510452,13.4032861,01100207
9741714717,Das kleine Grosz Museum,Bülowstraße 18,10783.0,52.4978636,13.3597341,07100103
9806828893,The Wall Museum,Mühlenstraße 80,10243.0,52.5028154,13.4452761,02400625
9926784273,Bibellabor,Kranoldstraße 17,,52.4658388,13.4339213,08100209
