id,points_of_interest
0000,10
1100102,1
1100103,1
1100205,5
1100206,12
1100207,6
1100308,3
1100309,7
1100310,8
1100312,1
1100415,1
1100416,1
1200520,1
1200522,1
1200624,1
1200629,1
1300733,1
1300834,1
1300835,1
1400942,1
2100101,2
2100102,3
2100106,1
2200211,1
2200212,1
2300314,3
2300316,1
2400522,1
2400623,1
2400625,1
2500727,1
2500728,1
3400721,1
3400722,1
3601347,1
3601348,1
3701556,1
4200203,1
4200207,1
4200308,1
4300412,4
4300414,2
4300621,1
4300622,3
4300623,1
4300624,2
4400832,1
4501042,3
4501152,1
4501153,1
5100316,2
5300736,1
5400942,1
5400943,1
6300634,1
6400841,1
6400842,1
6400843,1
6400844,3
7100103,2
7200411,1
7300515,1
7300618,1
7400721,2
7501133,1
7501134,1
7601236,1
7601544,1
8100206,1
8100207,1
8100209,1
8100312,1
8100416,1
8100418,1
8200727,1
8200832,1
8401243,1
9100407,1
9200511,1
9200512,1
9200716,1
9301126,1
9401330,1
9401534,2
9501939,1
10100311,1
10100313,1
10200420,1
11300724,2
11400927,1
11401034,1
12200412,1
12200515,1
