id,points_of_interest
0000,524
0110,728
0120,180
0130,129
0140,150
0210,116
0220,105
0230,117
0240,100
0250,132
0310,2
0320,18
0330,13
0340,66
0350,61
0360,241
0370,173
0410,5
0420,36
0430,288
0440,53
0450,293
0510,39
0520,24
0530,34
0540,8
0610,94
0620,42
0630,61
0640,39
0710,90
0720,126
0730,103
0740,100
0750,34
0760,37
0810,193
0820,40
0830,7
0840,22
0910,74
0920,128
0930,44
0940,17
0950,38
1010,34
1020,44
1030,17
1040,64
1110,19
1120,12
1130,71
1140,46
1150,40
1210,75
1220,43
1240,37
1250,43
1260,24
