id,points_of_interest
0000,524
1100101,19
1100102,36
1100103,10
1100104,13
1100205,30
1100206,113
1100207,73
1100308,109
1100309,80
1100310,77
1100311,23
1100312,27
1100313,32
1100414,7
1100415,55
1100416,24
1200517,21
1200518,10
1200519,14
1200520,11
1200521,4
1200522,22
1200623,17
1200624,19
1200625,10
1200626,27
1200628,16
1200629,9
1300730,26
1300731,10
1300732,12
1300733,10
1300834,8
1300835,32
1300836,31
1400937,9
1400938,10
1400939,5
1400940,3
1400942,10
1401043,13
1401044,11
1401045,23
1401046,23
1401047,16
1401048,17
1401049,10
2100101,24
2100102,36
2100103,9
2100104,37
2100105,3
2100106,7
2200207,6
2200208,15
2200209,21
2200210,17
2200211,28
2200212,8
2200213,10
2300314,27
2300315,16
2300316,14
2300417,7
2300418,17
2300419,36
2400520,3
2400521,19
2400522,17
2400623,14
2400624,30
2400625,17
2500726,5
2500727,5
2500728,7
2500729,4
2500830,8
2500831,6
2500832,16
2500833,13
2500834,21
2500835,43
2500836,4
3100103,2
3200205,1
3200206,6
3200207,5
3200308,1
3200309,4
3200310,1
3300413,2
3300516,4
3300517,7
3400618,1
3400619,5
3400620,6
3400721,15
3400722,5
3400723,16
3400724,1
3400725,1
3400826,7
3400827,4
3400828,1
3400830,4
3500932,3
3500933,3
3500934,7
3500935,10
3500936,29
3501037,9
3601139,3
3601140,20
3601141,28
3601142,23
3601243,6
3601244,8
3601245,8
3601346,16
3601347,31
3601348,38
3601449,1
3601450,27
3601451,17
3601452,6
3601453,9
3701554,16
3701555,23
3701556,35
3701657,4
3701658,29
3701659,29
3701660,37
4100101,5
4200203,2
4200204,2
4200206,1
4200207,3
4200308,6
4200310,11
4200311,11
4300412,2
4300413,9
4300414,15
4300415,11
4300416,23
4300517,11
4300518,12
4300619,10
4300620,38
4300621,27
4300622,52
4300623,46
4300624,32
4400726,6
4400727,3
4400728,14
4400729,3
4400830,10
4400831,2
4400832,2
4400833,4
4400834,3
4400835,6
4500936,8
4500937,30
4500938,10
4500939,20
4501040,4
4501041,38
4501042,36
4501043,34
4501044,20
4501045,13
4501146,14
4501147,10
4501148,6
4501149,14
4501150,9
4501151,14
4501152,2
4501153,11
5100101,1
5100104,3
5100105,5
5100210,2
5100211,1
5100313,3
5100314,1
5100315,2
5100316,16
5100317,5
5200420,3
5200527,4
5200528,1
5200629,5
5200630,5
5200631,4
5200634,2
5300736,12
5300737,1
5300838,1
5300840,14
5300841,6
5400942,5
5400943,1
5400944,1
5400945,1
6100101,10
6100102,27
6100103,12
6100204,1
6100205,2
6100206,5
6100207,14
6100208,11
6100209,9
6100210,3
6200311,2
6200312,6
6200313,3
6200314,5
6200315,3
6200317,3
6200420,2
6200421,11
6200422,7
6300524,4
6300526,7
6300527,2
6300629,9
6300630,3
6300631,3
6300632,3
6300633,25
6300634,5
6400735,3
6400736,2
6400737,2
6400838,1
6400839,3
6400840,1
6400841,6
6400842,4
6400843,7
6400844,10
7100101,23
7100102,13
7100103,12
7100204,18
7100205,14
7100206,10
7200307,19
7200308,27
7200409,31
7200410,8
7200411,10
7200412,10
7200413,15
7200414,6
7300515,16
7300516,21
7300517,21
7300618,26
7300619,19
7400720,13
7400721,13
7400822,11
7400823,3
7400824,9
7400825,7
7400826,4
7400927,37
7400928,3
7501029,11
7501030,5
7501133,17
7501135,1
7601236,3
7601237,1
7601238,2
7601340,1
7601341,12
7601442,3
7601544,8
7601545,1
7601546,3
7601547,2
7601548,1
8100101,5
8100102,13
8100103,9
8100104,9
8100105,3
8100206,23
8100207,15
8100208,11
8100209,8
8100310,4
8100311,7
8100312,5
8100313,1
8100314,11
8100415,18
8100416,9
8100417,11
8100418,4
8100419,3
8100520,2
8100521,22
8200622,2
8200623,4
8200624,8
8200725,1
8200726,7
8200727,3
8200728,2
8200729,5
8200730,2
8200831,1
8200832,1
8200833,4
8300934,1
8300935,1
8301037,5
8401139,5
8401241,5
8401242,3
8401243,7
8401245,1
8401246,1
9100101,47
9100202,2
9100304,7
9100306,1
9100407,3
9100408,3
9100409,11
9200510,5
9200511,18
9200512,3
9200613,10
9200614,1
9200715,57
9200716,13
9200717,11
9200818,2
9200819,8
9300920,2
9300922,1
9301024,2
9301025,33
9301126,3
9301227,1
9301228,2
9401329,6
9401534,9
9401635,2
9501736,1
9501737,9
9501838,4
9501939,11
9501940,2
9502042,1
9502043,10
10100102,1
10100103,1
10100205,10
10100208,1
10100209,1
10100210,1
10100311,8
10100312,4
10100313,1
10100316,6
10200417,2
10200418,1
10200420,2
10200421,9
10200422,1
10200423,5
10200524,1
10200525,3
10200526,3
10200629,17
10300731,3
10300732,8
10300733,3
10300734,3
10400835,8
10400836,12
10400837,24
10400938,2
10400939,13
10400940,1
10400941,4
11100101,5
11100204,5
11100205,2
11100206,3
11100307,4
11200410,1
11200411,5
11200512,1
11200514,3
11200515,2
11300616,4
11300617,2
11300618,7
11300619,2
11300620,5
11300721,13
11300722,19
11300723,2
11300724,6
11300725,6
11300826,5
11400927,6
11400929,15
11400930,1
11400931,8
11401033,2
11401034,5
11401135,3
11401136,4
11401137,2
11501238,17
11501339,11
11501340,6
11501341,6
12100101,16
12100102,15
12100103,8
12100204,12
12100205,24
12200307,1
12200308,1
12200309,7
12200310,2
12200411,3
12200412,11
12200413,2
12200414,2
12200515,14
12400617,1
12400618,1
12400619,1
12400720,11
12400721,14
12400722,3
12400723,6
12500824,1
12500825,23
12500926,6
12500927,7
12500928,1
12500929,3
12500930,2
12601031,11
12601032,2
12601133,3
12601134,8
