id,points_of_interest
0000,171
1100103,1
1100104,2
1100309,2
1100311,4
1100312,2
1100313,1
1100415,3
1100416,2
1200520,1
1200623,2
1200624,1
1200626,1
1200628,1
1200629,1
1300730,3
1300731,2
1300732,2
1300834,4
1300835,1
1400937,9
1400938,3
1400940,6
1401043,1
1401044,2
1401047,4
1401049,1
2100101,1
2100102,4
2100103,5
2100104,4
2100105,4
2100106,2
2200207,4
2200208,2
2200209,1
2200210,1
2200211,1
2300417,1
2300419,4
2400521,1
2400522,3
2400623,4
2400624,1
2400625,1
2500726,1
2500728,7
2500831,1
2500832,5
2500834,1
2500835,1
2500836,1
3100101,2
3100102,2
3100103,6
3200204,2
3200206,2
3200207,3
3200308,2
3200310,12
3300411,3
3300413,2
3300514,4
3300516,4
3400618,2
3400721,2
3400722,1
3400723,5
3400724,4
3400826,7
3400828,3
3400829,2
3400830,2
3500932,7
3500934,1
3500936,4
3501037,2
3601140,3
3601141,3
3601142,6
3601245,2
3601449,1
3601450,1
3601451,1
3601453,2
3701554,1
3701657,6
3701659,1
3701660,3
4100101,2
4200204,1
4200206,1
4200207,2
4200308,3
4300517,4
4300619,1
4300620,3
4300621,1
4300622,1
4300623,3
4400726,3
4400727,2
4500936,1
4500939,3
4501151,1
5100101,2
5100102,12
5100103,15
5100104,10
5100105,3
5100211,2
5100312,2
5100313,3
5100314,3
5100316,1
5200421,4
5200525,2
5200527,13
5200528,1
5200629,4
5200630,5
5200631,7
5200633,1
5300735,2
5300736,7
5300737,13
5300839,5
5400942,2
5400943,1
6100205,1
6100206,1
6100207,1
6100208,1
6200311,1
6200316,2
6200420,2
6200421,1
6200423,1
6300524,1
6300525,9
6300527,4
6300528,4
6300629,2
6300631,1
6300632,2
6300634,1
6400735,1
6400736,1
6400737,1
6400842,3
6400843,2
7100101,2
7100102,1
7100103,1
7100206,3
7200409,1
7200410,5
7200413,1
7300516,2
7300618,1
7300619,7
7400720,3
7400822,2
7400823,1
7400824,2
7400825,1
7400927,1
7501029,1
7501030,1
7501031,3
7501032,1
7501133,3
7501134,1
7601236,5
7601341,3
7601443,1
7601544,2
7601545,1
8100103,1
8100104,2
8100105,3
8100207,5
8100312,1
8100416,1
8100418,1
8100521,2
8200726,3
8200727,1
8200729,9
8200831,11
8200832,4
8200833,1
8300934,1
8300935,2
8301037,1
8401139,3
8401140,3
8401242,1
8401245,2
9100101,4
9100202,3
9100203,7
9100304,2
9100305,1
9100408,1
9200510,2
9200511,3
9200512,3
9200613,3
9200715,1
9200716,1
9200717,1
9200819,4
9300920,2
9300923,1
9301228,1
9401329,7
9401433,4
9401635,1
9501736,1
9501838,1
9501939,1
9501941,2
9502042,1
9502043,1
10100101,1
10100103,1
10100209,2
10100311,1
10100312,8
10100314,1
10100315,1
10100316,9
10200418,1
10200525,4
10200627,1
10200628,5
10300732,2
10300733,7
10300734,1
10400835,1
10400940,2
10400941,2
11100101,3
11100102,1
11100203,2
11100307,2
11100308,3
11200411,2
11200512,1
11200513,1
11200514,8
11200515,5
11300617,2
11300620,2
11300721,3
11300722,7
11300725,5
11300826,5
11400928,2
11400929,6
11400930,2
11400931,2
11401032,2
11401033,4
11401034,5
11401135,20
11401136,21
11401137,7
11501238,3
11501339,4
11501340,6
11501341,3
12100102,1
12100103,8
12100204,2
12100205,8
12100206,1
12200307,1
12200309,4
12200310,1
12200412,1
12200413,5
12200414,1
12200515,2
12400616,2
12400617,1
12400619,2
12400720,1
12400723,1
12500824,1
12500825,4
12500926,3
12500928,1
12500929,5
12500930,7
12601031,2
12601032,1
12601133,12
12601134,6
12601235,1
12601236,1
