id,points_of_interest
00,47
11002,1
11003,6
12005,2
12006,1
13008,2
14009,3
21001,3
22002,7
23003,1
23004,1
24005,1
24006,3
25007,4
25008,7
31001,1
32002,2
32003,2
33004,1
33005,1
34006,1
34007,1
34008,1
35009,1
35010,1
36011,1
36012,1
36014,3
37016,3
42003,3
43005,2
43006,3
44007,1
45009,1
45010,3
51003,1
52004,1
52005,1
52006,2
53007,1
54009,1
61002,1
62003,3
62004,1
63005,2
63006,4
64007,2
64008,3
71001,2
72003,1
72004,2
74008,2
74009,1
76012,4
76013,1
76015,1
81001,1
81002,2
81005,1
82006,1
82007,1
84011,2
84012,1
91003,1
92005,2
92006,3
92007,4
92008,3
93009,3
93010,1
94014,2
94016,1
95017,1
95018,2
95019,3
101001,1
101002,2
101003,1
102004,2
102006,1
104009,3
111001,1
111002,1
111003,1
112005,1
113006,2
114009,8
114010,1
114011,2
115013,2
121001,11
121002,2
122004,1
122005,1
124006,5
124007,1
125009,1
126012,1
