id,points_of_interest
00,21
11001,3
11002,1
11003,25
11004,13
12005,18
12006,8
13007,14
13008,8
14009,21
14010,17
21001,10
22002,31
23003,25
23004,21
24005,3
24006,3
25007,15
25008,48
32002,5
32003,1
33005,4
34007,6
34008,2
35009,5
35010,1
36011,10
36012,6
36013,10
36014,3
37015,26
37016,11
41001,2
42003,4
43004,19
43005,7
43006,22
44007,2
44008,4
45009,10
45010,12
45011,15
51001,6
51002,4
51003,19
52004,4
52006,14
53007,2
53008,5
54009,1
61001,6
61002,14
62003,3
62004,6
63005,3
63006,8
64007,1
64008,2
71001,12
71002,7
72003,6
72004,15
73005,12
73006,3
74007,4
74008,9
74009,2
75010,6
75011,5
76012,3
76013,1
76014,2
76015,2
81001,21
81002,19
81003,34
81004,20
81005,2
82006,6
82007,6
82008,3
84011,2
84012,7
91001,4
91002,3
91003,4
91004,3
92005,3
92006,2
92007,5
93009,3
94015,2
95017,3
95019,2
95020,1
101001,2
101002,6
101003,1
102004,4
102005,1
103007,2
104008,2
112005,6
113006,4
113007,4
114009,10
114010,1
114011,1
115013,2
121001,12
121002,5
122003,12
122004,1
122005,5
124007,2
125008,1
125009,4
