id,points_of_interest
0000,245
1100101,9
1100102,29
1100103,13
1100104,9
1100205,47
1100206,71
1100207,34
1100308,70
1100309,135
1100310,92
1100311,5
1100312,28
1100313,13
1100414,4
1100415,40
1100416,34
1200517,7
1200518,9
1200519,8
1200520,17
1200521,14
1200522,14
1200623,5
1200624,13
1200625,7
1200626,17
1200627,4
1200628,10
1200629,4
1300730,4
1300731,1
1300732,4
1300733,11
1300834,6
1300835,4
1300836,15
1400937,12
1400938,9
1400939,2
1400942,12
1401043,9
1401044,4
1401045,7
1401046,10
1401047,10
1401048,13
1401049,2
2100101,15
2100102,26
2100103,5
2100104,13
2100105,1
2100106,10
2200207,4
2200208,10
2200209,23
2200210,13
2200211,57
2200212,27
2200213,46
2300314,31
2300315,39
2300316,10
2300417,31
2300418,10
2300419,46
2400520,6
2400521,8
2400522,14
2400623,4
2400624,15
2400625,16
2500726,6
2500727,10
2500728,22
2500729,13
2500830,22
2500831,11
2500832,14
2500833,78
2500834,54
2500835,11
2500836,1
3100102,1
3200205,6
3200206,6
3200207,3
3200309,2
3200310,3
3300411,3
3300412,2
3300514,1
3300516,4
3300517,1
3400618,2
3400619,3
3400620,1
3400721,12
3400722,2
3400723,7
3400724,6
3400826,5
3400827,3
3400829,2
3500933,3
3500934,8
3500935,8
3500936,12
3501037,3
3501038,3
3601139,3
3601140,1
3601141,15
3601142,31
3601243,14
3601244,11
3601245,5
3601346,25
3601347,44
3601348,16
3601449,2
3601450,4
3601451,1
3601452,4
3701554,49
3701555,53
3701556,35
3701658,9
3701659,17
3701660,28
4100101,5
4100102,2
4200204,1
4200207,2
4200308,4
4200309,3
4200310,16
4200311,15
4300412,5
4300413,11
4300414,28
4300415,9
4300416,59
4300517,10
4300518,14
4300619,8
4300620,16
4300621,25
4300622,27
4300623,47
4300624,74
4400725,1
4400726,3
4400727,7
4400729,3
4400830,8
4400832,7
4400834,5
4400835,6
4500936,10
4500937,15
4500938,15
4500939,8
4501040,20
4501041,50
4501042,62
4501043,18
4501044,21
4501045,25
4501146,7
4501147,11
4501148,3
4501149,14
4501150,12
4501151,8
4501152,13
4501153,10
5100101,4
5100104,2
5100105,2
5100208,5
5100210,2
5100211,3
5100312,2
5100313,3
5100314,3
5100315,3
5100316,27
5100317,1
5200418,2
5200420,1
5200423,1
5200524,1
5200527,5
5200528,6
5200629,2
5200630,13
5200631,3
5200632,1
5200633,2
5200634,5
5300735,2
5300736,1
5300737,5
5300838,1
5300840,6
5300841,13
5400942,7
5400943,4
5400944,7
5400945,2
6100101,9
6100102,28
6100103,8
6100204,2
6100205,5
6100206,9
6100207,9
6100208,3
6100209,8
6100210,3
6200311,1
6200312,5
6200313,3
6200314,4
6200315,1
6200316,3
6200317,1
6200419,2
6200420,3
6200421,4
6200422,10
6200423,5
6300524,2
6300525,1
6300526,12
6300528,8
6300629,14
6300630,3
6300631,2
6300632,2
6300633,10
6300634,5
6400735,16
6400736,1
6400737,15
6400838,5
6400839,6
6400840,5
6400841,7
6400842,3
6400843,5
6400844,9
7100101,43
7100102,20
7100103,17
7100204,15
7100205,10
7100206,5
7200307,11
7200308,14
7200409,39
7200410,5
7200411,12
7200412,1
7200413,15
7200414,1
7300515,13
7300516,17
7300517,10
7300618,18
7300619,7
7400720,6
7400721,1
7400822,2
7400823,2
7400824,7
7400825,12
7400826,2
7400927,10
7400928,1
7501029,3
7501030,8
7501031,7
7501032,1
7501133,6
7501134,4
7501135,5
7601236,4
7601237,3
7601238,2
7601340,1
7601341,3
7601442,11
7601443,5
7601544,6
7601546,3
7601547,1
7601548,2
8100101,5
8100102,16
8100103,5
8100104,11
8100105,7
8100206,13
8100207,10
8100208,7
8100209,12
8100310,17
8100311,27
8100312,20
8100314,22
8100415,11
8100416,12
8100417,6
8100418,9
8100419,2
8100520,3
8100521,3
8200622,1
8200623,5
8200624,4
8200725,3
8200726,5
8200727,3
8200728,2
8200729,1
8200730,3
8200831,1
8200832,4
8200833,2
8300934,5
8301036,1
8301037,2
8401138,2
8401139,4
8401140,1
8401241,10
8401242,4
8401243,7
8401244,1
8401245,1
9100101,17
9100202,3
9100203,1
9100304,4
9100305,4
9100306,1
9100407,1
9100408,6
9100409,1
9200510,6
9200511,12
9200512,4
9200613,14
9200715,20
9200716,9
9200717,4
9200819,3
9300920,6
9300922,1
9300923,2
9301025,5
9301126,5
9301227,2
9301228,8
9401329,8
9401330,2
9401431,3
9401534,17
9401635,4
9501736,4
9501737,21
9501838,6
9501939,3
9501940,2
9502042,1
9502043,6
10100103,4
10100205,2
10100208,2
10100210,7
10100311,7
10100312,1
10100313,2
10100316,3
10200420,1
10200421,4
10200422,1
10200524,3
10200628,2
10200629,1
10200630,3
10300731,5
10300733,1
10300734,4
10400835,5
10400836,1
10400837,2
10400938,5
10400940,1
10400941,5
11100101,2
11100204,1
11100205,1
11100307,4
11100308,2
11100309,1
11200410,3
11200411,1
11200512,3
11200513,5
11200514,3
11300616,2
11300617,4
11300618,6
11300620,1
11300721,15
11300722,5
11300724,1
11300725,3
11400927,8
11400929,8
11400931,1
11401032,3
11401033,1
11401135,2
11401136,1
11401137,4
11501238,1
11501339,6
11501340,5
11501341,6
12100101,7
12100102,3
12100103,2
12100204,5
12100205,10
12200308,1
12200309,9
12200310,4
12200412,4
12200413,1
12200414,1
12200515,30
12400616,3
12400617,8
12400618,3
12400619,1
12400720,3
12400721,4
12400722,6
12400723,9
12500824,2
12500825,5
12500926,9
12500927,7
12500928,8
12500929,4
12500930,1
12601031,3
12601032,2
12601133,1
12601134,1
12601235,1
12601236,3
