id,points_of_interest
00,15
11002,3
11003,2
11004,1
12005,2
12006,1
13008,2
21001,1
24006,1
25008,3
31001,1
33004,1
33005,1
34007,1
34008,1
36011,1
36012,1
36014,2
42002,2
43004,2
43006,1
44007,1
45009,1
45010,1
45011,1
51003,1
52006,1
61002,2
62004,2
63005,1
63006,1
64007,1
64008,1
72004,2
73006,2
74007,1
74008,2
76012,3
76015,1
81001,1
81004,1
91001,1
91003,1
92006,1
93009,1
93011,1
95017,1
95018,1
95019,1
95020,1
101001,1
101002,1
101003,1
104008,2
104009,1
111002,2
113008,1
115012,1
115013,1
121001,1
121002,1
122005,1
124006,1
124007,1
125009,1
