id,points_of_interest
00,11
11001,2
11002,1
11003,1
11004,3
12006,2
13007,2
13008,1
14010,3
21001,4
22002,5
23003,2
23004,2
24005,1
24006,1
31001,2
34008,1
35009,2
36011,3
36013,1
36014,3
37015,2
37016,3
41001,3
42002,1
42003,1
43006,2
44008,1
45009,2
45010,2
45011,7
51001,2
51003,1
52005,1
53008,1
61001,1
64008,3
72003,2
72004,3
74008,1
74009,2
81001,1
81002,2
81005,1
82007,1
82008,2
91001,1
91004,1
92005,1
93009,1
94015,1
95017,1
101002,2
101003,2
102005,3
102006,1
111002,1
113007,3
124006,2
124007,1
125009,1
