id,points_of_interest
000000,17
011001,17
011002,11
011003,53
011004,30
012005,13
012006,6
013007,22
013008,19
014009,22
014010,47
021001,8
022002,39
023003,20
023004,21
024005,4
024006,10
025007,10
025008,54
031001,2
032002,1
034007,4
034008,4
035009,10
035010,2
036011,13
036012,9
036013,17
036014,1
037015,28
037016,12
042002,2
042003,2
043004,10
043005,2
043006,21
044008,2
045009,7
045010,23
045011,5
051001,1
051003,2
052006,5
053007,1
061001,3
061002,5
062003,2
062004,1
063005,3
063006,2
071001,28
071002,10
072003,8
072004,14
073005,6
073006,4
074007,1
074008,2
074009,1
075010,1
075011,1
076014,1
081001,12
081002,30
081003,46
081004,29
081005,1
082006,1
082007,1
082008,1
083009,1
083010,1
084012,1
091001,2
091003,2
091004,1
092005,5
092006,6
092007,2
092008,1
093011,1
094014,1
094015,5
095017,1
095019,3
101001,6
101002,1
101003,1
102004,6
102005,2
102006,2
111002,2
112004,3
112005,2
113006,6
113007,6
113008,2
114009,10
114010,1
114011,1
115012,1
115013,1
121001,11
121002,3
122003,8
122005,5
124007,3
125008,1
125009,4
126010,1
126011,1
126012,1
