id,points_of_interest
0110,229
0120,110
0130,85
0140,81
0210,54
0220,75
0230,51
0240,50
0250,46
0310,51
0320,101
0330,106
0340,141
0350,78
0360,43
0370,11
0410,58
0420,138
0430,119
0440,103
0450,144
0510,234
0520,186
0530,74
0540,89
0610,111
0620,178
0630,194
0640,244
0710,46
0720,53
0730,55
0740,145
0750,97
0760,176
0810,168
0820,152
0830,39
0840,144
0910,143
0920,111
0930,146
0940,76
0950,118
1010,121
1020,61
1030,81
1040,167
1110,70
1120,46
1130,58
1140,86
1150,43
1210,110
1220,108
1240,179
1250,138
1260,87
