id,points_of_interest
01100102,3
01100104,5
01100205,1
01100206,1
01100207,2
01100308,8
01100309,15
01100310,11
01100311,2
01100312,7
01100313,1
01100415,6
01100416,12
01200517,3
01200518,5
01200519,3
01200520,5
01200521,5
01200522,6
01200623,7
01200624,1
01200625,5
01200626,2
01200627,1
01200628,1
01200629,1
01300730,10
01300731,5
01300732,8
01300733,7
01300834,5
01300835,3
01300836,10
01400937,4
01400938,6
01400939,1
01400942,11
01401043,6
01401044,9
01401045,6
01401046,9
01401047,9
01401048,9
01401049,4
02100101,3
02100102,3
02100103,5
02100104,2
02100105,5
02100106,2
02200208,2
02200209,4
02200210,6
02200211,7
02200212,3
02200213,14
02300314,9
02300315,10
02300316,4
02300417,5
02300418,3
02300419,12
02400521,2
02400522,5
02400623,4
02400624,6
02400625,2
02500726,11
02500727,4
02500728,12
02500729,2
02500830,8
02500831,6
02500832,8
02500833,28
02500834,15
02500835,8
03200205,1
03200206,1
03200309,1
03200310,1
03300516,2
03400619,1
03400721,4
03400722,1
03400723,3
03400826,4
03400827,2
03400828,1
03400830,1
03400831,1
03500933,2
03500934,3
03500935,5
03500936,9
03501038,1
03601139,1
03601140,1
03601141,9
03601142,9
03601243,5
03601244,3
03601245,3
03601346,6
03601347,9
03601348,10
03601449,1
03601451,1
03701554,12
03701555,7
03701556,3
03701658,2
03701659,6
03701660,4
04100102,1
04200205,1
04200310,2
04200311,2
04300413,4
04300414,1
04300415,1
04300416,3
04300518,1
04300619,3
04300620,2
04300621,6
04300622,2
04300623,14
04300624,4
04400729,1
04400830,1
04400832,2
04400834,2
04400835,1
04500936,1
04500937,1
04500938,1
04500939,1
04501040,4
04501041,1
04501042,3
04501044,4
04501045,3
04501146,1
04501147,3
04501148,1
04501149,3
04501150,4
04501151,1
04501152,2
05100103,1
05100312,1
05100316,7
05200419,1
05200527,2
05200630,4
05200631,1
05200634,1
05300737,2
05300839,2
05400942,1
06100102,3
06100103,4
06100205,1
06100206,2
06100207,4
06200313,3
06200314,1
06200316,1
06200422,4
06300526,1
06300528,1
06300631,1
06300633,3
06400735,2
06400838,1
06400839,1
06400840,1
06400841,1
07100101,1
07100102,3
07100103,1
07100204,1
07100205,4
07100206,4
07200308,7
07200409,8
07200410,3
07200411,4
07200413,2
07200414,2
07300516,1
07300517,4
07300618,2
07300619,1
07400720,4
07400823,1
07400824,3
07400825,2
07400826,1
07400927,2
07501030,2
07501031,2
07501133,1
07501134,1
07601442,1
07601545,1
08100101,4
08100102,7
08100103,7
08100104,7
08100105,4
08100206,9
08100207,5
08100208,7
08100209,4
08100310,5
08100311,10
08100312,9
08100314,9
08100415,7
08100416,1
08100417,4
08100418,4
08100520,1
08100521,1
08200622,1
08200623,1
08200624,3
08200726,1
08300935,2
08401138,1
08401245,1
08401246,1
09100101,8
09100304,6
09100306,1
09100407,1
09100409,1
09200510,3
09200511,6
09200613,4
09200715,1
09200716,1
09200717,3
09301025,1
09301126,3
09401534,2
09501737,1
09501939,4
09501940,1
10100101,1
10100208,1
10100311,1
10200524,1
10200526,1
10200629,1
10300731,2
10300734,1
10400835,1
10400836,1
11100204,1
11100309,1
11200410,1
11200411,2
11200514,1
11200515,1
11300620,1
11300722,3
11300724,1
11300725,4
11300826,2
11400927,1
11400928,2
11400929,12
11400930,1
11400931,3
11401032,1
11401135,3
11401136,1
11501238,1
12100101,7
12100102,1
12100103,2
12100204,5
12100205,2
12200309,3
12200515,9
12400619,1
12500825,1
