id,points_of_interest
011001,27
011002,52
011003,106
011004,18
012005,59
012006,27
013007,28
013008,32
014009,41
014010,48
021001,37
022002,71
023003,40
023004,44
024005,6
024006,33
025007,39
025008,75
031001,4
032002,8
032003,3
033004,7
033005,3
034006,9
034007,20
034008,7
035009,22
035010,3
036011,26
036012,10
036013,24
036014,16
037015,38
037016,13
041001,2
042002,7
042003,14
043004,25
043005,12
043006,74
044007,1
044008,12
045009,10
045010,55
045011,27
051001,4
051002,4
051003,30
052004,2
052005,8
052006,41
053007,7
053008,12
054009,2
061001,32
061002,16
062003,14
062004,12
063005,13
063006,16
064007,9
064008,17
071001,34
071002,16
072003,28
072004,37
073005,17
073006,11
074007,8
074008,26
074009,12
075010,13
075011,9
076012,6
076013,4
076014,6
076015,13
081001,45
081002,41
081003,45
081004,24
081005,5
082006,10
082007,17
082008,7
083009,7
083010,4
084011,5
084012,15
091001,17
091002,4
091003,14
091004,5
092005,19
092006,13
092007,19
092008,6
093009,7
093010,6
093011,2
093012,1
094013,2
094014,5
094015,5
094016,2
095017,4
095018,2
095019,21
095020,1
101001,7
101002,14
101003,16
102004,9
102005,9
102006,7
103007,7
104008,4
104009,9
111002,10
111003,16
112004,7
112005,16
113006,8
113007,24
113008,4
114009,24
114010,4
114011,9
115012,1
115013,3
121001,10
121002,10
122003,16
122004,4
122005,17
124006,6
124007,6
125008,5
125009,13
126010,3
126011,5
126012,4
