id,points_of_interest
000000,38
011001,5
011002,3
011003,12
011004,10
012005,23
012006,15
013007,18
013008,7
014009,27
014010,32
021001,10
022002,53
023003,21
023004,17
024005,5
024006,7
025007,13
025008,17
031001,4
032002,10
032003,3
034006,3
034007,14
034008,8
035009,8
036011,25
036012,3
036013,20
036014,9
037015,9
037016,14
041001,4
042002,4
042003,4
043004,31
043005,4
043006,23
044007,6
044008,8
045009,17
045010,10
045011,44
051001,4
051002,4
051003,9
052004,3
052006,8
053007,2
053008,4
054009,2
061001,12
061002,23
062003,11
062004,4
063005,3
063006,9
064007,4
064008,8
071001,9
071002,13
072003,15
072004,24
073005,22
073006,14
074007,2
074008,22
074009,5
075010,15
075011,7
076012,6
076013,5
076014,5
076015,6
081001,18
081002,23
081003,14
081004,12
081005,1
082006,4
082007,2
082008,5
083009,4
083010,1
084012,4
091001,3
091002,3
091003,7
091004,5
092005,11
092006,8
092007,3
092008,1
093009,2
093011,1
093012,1
094013,1
094015,3
095017,1
095019,2
095020,2
101001,2
101002,1
101003,1
102004,1
102006,3
103007,3
104009,1
111001,1
111002,2
111003,1
112004,5
112005,2
113006,1
113007,5
114009,15
114010,1
114011,2
115012,1
115013,9
121001,10
121002,5
122003,12
122004,3
122005,3
124006,8
124007,9
125008,3
125009,8
126010,3
126011,4
126012,5
