id,points_of_interest
011001,3
011002,7
011003,7
011004,2
012005,2
012006,3
021001,1
022002,3
023003,1
023004,2
031001,1
033004,1
034006,1
034007,1
035009,1
036011,1
036014,1
037015,2
037016,2
041001,1
042003,1
043004,2
043006,7
044007,1
044008,2
045010,2
045011,1
051001,1
051002,1
051003,1
052005,1
053007,1
054009,1
061001,1
062003,1
064007,1
064008,8
071002,1
073006,1
076015,2
081002,3
083009,2
084012,1
092005,1
092006,1
092007,3
093009,1
095017,1
101002,1
101003,1
102004,1
102006,1
104009,1
111003,1
113006,1
113007,2
114010,1
114011,1
124007,2
126011,1
