id,points_of_interest
01100102,1
01100103,1
01100206,1
01100207,2
01100308,1
01100309,4
01100310,8
01100311,2
01100313,6
01100415,1
01100416,3
01200624,2
01300836,1
01401043,1
01401048,1
02100104,3
02200208,1
02200211,1
02300314,1
02300315,3
02300316,3
02300417,2
02300418,1
02300419,1
02400623,2
02400624,1
02400625,3
02500834,4
02500835,8
03500935,1
03701555,2
03701660,1
04100101,1
04300621,1
04300623,4
04300624,1
04400832,1
04500938,1
04501041,1
04501042,5
04501044,1
05200632,1
07100101,1
07100102,1
07200409,1
07400721,1
07400927,1
08100101,1
08100105,1
08100206,1
08100520,2
08200622,1
08401139,1
08401241,1
09100101,3
09200510,1
09200613,1
11100307,1
11300721,1
11300826,1
12200515,1
12601134,1
