id,points_of_interest
011001,75
011002,214
011003,352
011004,86
012005,83
012006,102
013007,58
013008,71
014009,37
014010,115
021001,117
022002,105
023003,58
023004,61
024005,40
024006,61
025007,21
025008,112
031001,2
032002,12
032003,6
033004,2
033005,11
034006,12
034007,38
034008,16
035009,52
035010,9
036011,75
036012,23
036013,85
036014,63
037015,75
037016,99
041001,7
042002,8
042003,28
043004,60
043005,23
043006,205
044007,26
044008,27
045009,68
045010,143
045011,81
051001,9
051002,3
051003,27
052004,3
052005,5
052006,16
053007,13
053008,21
054009,8
061001,49
061002,45
062003,22
062004,20
063005,13
063006,48
064007,8
064008,32
071001,49
071002,42
072003,46
072004,81
073005,59
073006,45
074007,26
074008,36
074009,40
075010,16
075011,18
076012,6
076013,13
076014,3
076015,14
081001,39
081002,58
081003,30
081004,47
081005,24
082006,14
082007,20
082008,6
083009,2
083010,5
084011,5
084012,17
091001,47
091002,2
091003,8
091004,17
092005,26
092006,11
092007,81
092008,10
093009,3
093010,35
093011,3
093012,4
094013,6
094015,9
094016,2
095017,10
095018,4
095019,13
095020,11
101001,2
101002,13
101003,19
102004,20
102005,7
102006,17
103007,17
104008,44
104009,20
111001,5
111002,10
111003,4
112004,7
112005,6
113006,20
113007,46
113008,5
114009,30
114010,8
114011,9
115012,18
115013,24
121001,40
121002,36
122003,10
122004,18
122005,14
124006,3
124007,34
125008,24
125009,19
126010,13
126011,11
126012,1
