id,points_of_interest
011001,2
011002,2
011003,2
011004,2
012005,3
012006,4
013007,8
013008,5
014009,2
014010,7
021001,2
022002,5
023003,2
023004,2
024006,1
025007,1
025008,2
031001,1
032002,1
033004,2
033005,2
034007,2
034008,1
035009,4
035010,2
036011,3
037016,1
042003,4
043004,4
043005,1
043006,4
044007,1
045009,2
045010,1
045011,2
051001,3
051003,4
052005,1
052006,5
053007,1
061001,2
061002,1
062003,3
062004,2
064007,1
064008,1
071002,4
072003,1
072004,3
073005,2
073006,3
074009,3
075011,3
076015,1
081001,4
081002,4
081003,3
081004,8
083009,1
084011,1
084012,1
092005,3
092007,1
092008,1
093009,1
094015,1
095017,1
095019,1
101002,2
101003,2
104008,1
104009,1
113007,1
114009,1
114010,1
115013,1
121001,2
121002,2
122004,2
122005,1
124007,1
125008,3
125009,1
126010,1
126011,1
126012,1
