id,points_of_interest
01100101,1
01100103,1
01100206,2
01100308,1
01100312,1
01100416,2
01200519,2
01200520,1
01200623,2
01200626,1
01200627,1
01300730,4
01300731,1
01300733,3
01300835,2
01300836,3
01400937,1
01400942,1
01401043,1
01401044,3
01401045,1
01401048,1
02100102,1
02100106,1
02200208,1
02200210,2
02200211,1
02200213,1
02300314,2
02300417,1
02300419,1
02400623,1
02500727,1
02500831,1
02500832,1
03100101,1
03200205,1
03300411,1
03300412,1
03300514,1
03300516,1
03400721,1
03400723,1
03400826,1
03500933,1
03500934,1
03500935,1
03500936,1
03501037,1
03501038,1
03601141,2
03601142,1
03701659,1
04200309,1
04200311,3
04300412,1
04300413,2
04300415,1
04300518,1
04300621,3
04300624,1
04400726,1
04500938,2
04501045,1
04501151,2
05100104,2
05100105,1
05100314,2
05100315,2
05200527,1
05200629,1
05200630,2
05200631,1
05200632,1
05300737,1
06100101,2
06100208,1
06200314,1
06200316,1
06200317,1
06200421,2
06400735,1
06400838,1
07100204,1
07100205,2
07100206,1
07200308,1
07200409,2
07200411,1
07300515,2
07300618,2
07300619,1
07400927,2
07400928,1
07501133,1
07501134,1
07501135,1
07601546,1
08100101,1
08100102,1
08100104,1
08100105,1
08100206,3
08100207,1
08100311,2
08100314,1
08100415,1
08100416,5
08100417,1
08100419,1
08300934,1
08401139,1
08401242,1
09200510,2
09200511,1
09200717,1
09200819,1
09300923,1
09401534,1
09501737,1
09501940,1
10100206,1
10100209,1
10100316,2
10400837,1
10400938,1
11300721,1
11400928,1
11401033,1
11501340,1
12100101,1
12100102,1
12100204,1
12100205,2
12200412,1
12200414,1
12200515,1
12400723,1
12500824,2
12500825,1
12500930,1
12601031,1
12601134,1
12601235,1
