id,points_of_interest
011001,3
011002,1
011003,23
011004,13
012005,18
012006,9
013007,14
013008,8
014009,21
014010,17
021001,10
022002,31
023003,25
023004,21
024005,3
024006,3
025007,15
025008,48
032002,5
032003,1
033005,4
034007,6
034008,2
035009,5
035010,1
036011,10
036012,6
036013,10
036014,3
037015,25
037016,11
041001,2
042003,4
043004,19
043005,7
043006,22
044007,2
044008,4
045009,10
045010,12
045011,14
051001,6
051002,4
051003,19
052004,4
052006,14
053007,2
053008,5
054009,1
061001,6
061002,14
062003,3
062004,6
063005,3
063006,8
064007,1
064008,2
071001,12
071002,7
072003,6
072004,15
073005,12
073006,3
074007,4
074008,9
074009,2
075010,6
075011,5
076012,3
076013,1
076014,2
076015,2
081001,21
081002,19
081003,34
081004,20
081005,2
082006,6
082007,6
082008,3
084011,2
084012,7
091001,4
091002,3
091003,3
091004,3
092005,3
092006,4
092007,5
093009,3
094015,2
095017,3
095019,2
095020,1
101001,2
101002,6
101003,1
102004,4
102005,1
103007,2
104008,2
112005,7
113006,4
113007,4
114009,10
114010,1
114011,1
115013,2
121001,12
121002,5
122003,11
122005,5
124007,2
125008,1
125009,4
