id,points_of_interest
011001,64
011002,153
011003,342
011004,78
012005,69
012006,59
013007,21
013008,25
014009,36
014010,55
021001,70
022002,178
023003,84
023004,88
024005,29
024006,40
025007,50
025008,191
031001,1
032002,15
032003,5
033004,5
033005,6
034006,6
034007,26
034008,11
035009,31
035010,6
036011,52
036012,31
036013,85
036014,11
037015,138
037016,54
041001,7
042002,3
042003,39
043004,112
043005,24
043006,197
044007,14
044008,26
045009,48
045010,198
045011,78
051001,8
051002,10
051003,38
052004,5
052005,12
052006,26
053007,8
053008,20
054009,20
061001,45
061002,38
062003,19
062004,24
063005,23
063006,36
064007,32
064008,38
071001,80
071002,30
072003,26
072004,75
073005,40
073006,25
074007,7
074008,26
074009,12
075010,19
075011,15
076012,9
076013,4
076014,16
076015,12
081001,45
081002,42
081003,88
081004,40
081005,6
082006,9
082007,17
082008,7
083009,5
083010,3
084011,7
084012,24
091001,17
091002,4
091003,10
091004,8
092005,22
092006,14
092007,33
092008,2
093009,9
093010,5
093011,5
093012,10
094013,10
094014,3
094015,17
094016,4
095017,24
095018,6
095019,6
095020,7
101001,4
101002,11
101003,13
102004,6
102005,3
102006,6
103007,10
104008,8
104009,11
111001,2
111002,2
111003,7
112004,4
112005,11
113006,13
113007,26
114009,17
114010,4
114011,7
115012,1
115013,17
121001,11
121002,15
122003,14
122004,6
122005,30
124006,15
124007,22
125008,7
125009,29
126010,5
126011,1
126012,4
