id,points_of_interest
0000,246
0110,636
0120,127
0130,46
0140,91
0210,71
0220,179
0230,172
0240,68
0250,242
0310,1
0320,20
0330,11
0340,43
0350,37
0360,179
0370,191
0410,7
0420,42
0430,333
0440,40
0450,324
0510,57
0520,43
0530,28
0540,20
0610,83
0620,43
0630,59
0640,70
0710,110
0720,100
0730,65
0740,45
0750,34
0760,41
0810,218
0820,33
0830,8
0840,31
0910,38
0920,71
0930,29
0940,34
0950,43
1010,28
1020,15
1030,10
1040,19
1110,11
1120,15
1130,39
1140,28
1150,18
1210,27
1220,50
1240,37
1250,36
1260,10
