id,points_of_interest
01100205,1
01100206,2
01100309,1
01100310,1
01100415,1
01200517,2
01200629,1
01300834,1
01300836,1
02100101,1
02400623,1
02500835,3
03100103,1
03300412,1
03300514,1
03400721,1
03400826,1
03601140,1
03601243,1
03601451,1
03601452,1
04200203,1
04200205,1
04300413,1
04300415,1
04300623,1
04400729,1
04500938,1
04501042,1
04501153,1
05100317,1
05200629,1
06100205,1
06100209,1
06200420,1
06200422,1
06300526,1
06300633,1
06400735,1
06400838,1
07200413,2
07300618,1
07300619,1
07400720,1
07400822,1
07400826,1
07601238,3
07601546,1
08100105,1
08100417,1
09100101,1
09100304,1
09200613,1
09300921,1
09301126,1
09501736,1
09501838,1
09501940,1
09502043,1
10100101,1
10100205,1
10100311,1
10400836,2
10400939,1
11100206,2
11300826,1
11501238,1
11501341,1
12100102,1
12100205,1
12200515,1
12400618,1
12400721,1
12500928,1
