id,points_of_interest
011001,1
011002,1
011003,6
011004,3
012005,2
012006,1
013008,3
014009,1
014010,6
021001,4
022002,6
023003,3
023004,3
024005,4
024006,1
025007,2
025008,4
032003,1
034007,1
035009,1
036013,3
036014,1
037015,7
037016,3
042003,1
043004,4
043006,1
045009,6
045010,3
045011,6
051003,2
052005,1
052006,4
053007,1
053008,1
061001,2
061002,5
062003,1
063005,2
063006,1
071001,1
072003,4
072004,3
073005,3
073006,1
074008,1
074009,1
075010,4
075011,1
076012,1
076013,1
081001,2
081002,2
081004,3
082006,1
082007,1
084012,1
091001,1
092005,3
093009,2
093012,1
101003,1
102004,1
113008,1
114009,1
114010,1
115012,2
121001,2
122003,2
124006,2
125009,2
126011,1
