id,name,street,zip_code,lat,lon,geojson_feature_id
58489979,Netto Marken-Discount,Alte Jakobstraße 83,10179,52.5098189,13.4073729,01100312
79418658,Ledo,Quäkerstraße 2,13403,52.5724174,13.3085471,12200310
79422426,kiezmarkt,,,52.5716761,13.3124756,12200310
79428988,nah & gut,Scharnweberstraße 100,13405,52.5664033,13.3169308,12200309
79438509,Nahkauf,Meller Bogen 2,13403,52.5704861,13.321144,12200308
101003688,nah und gut,Güntzelstraße 40,10717,52.4913971,13.3228827,04501147
151015050,NORMA,,,52.5265407,13.5403083,10100312
175685784,Netto Marken-Discount,,13435,52.5958262,13.3335139,12500927
245261389,Aldi,Müllerstraße 128,13349,52.5524232,13.3480665,01400938
249675570,Netto Marken-Discount,,,52.5439135,13.5486135,10100210
251340008,Edeka Leher,Fürstenwalder Allee 314,12589,52.4315738,13.7149761,09501838
251595302,PENNY,Pankower Allee 47-49,,52.565038,13.3706441,12100101
253256553,Netto,,,52.5515059,13.4550894,03500933
253616655,EDEKA Thaut,,,52.510061,13.4709585,02500832
253999816,Öz-Gida,Hauptstraße 16,10827,52.4873144,13.3570728,07200409
254862675,EDEKA,,,52.4701156,13.4621306,08100520
257704877,Lidl,Neuendorfer Straße 30,13585,52.5476038,13.2100323,05100313
259835062,Lidl,Falkenseer Damm 19,13585,52.5428752,13.1965568,05100316
259855794,Aldi,Theodor-Heuss-Platz 7,14052,52.5085368,13.2716801,04200310
261743904,REWE,Turmstraße 60,10551,52.5276119,13.3291604,01200519
262353263,Kaufland,Schnellerstraße 21,12439,52.457312,13.5078518,09200613
262355894,EDEKA,Frankfurter Allee 35 - 37,10247,52.515615,13.4623106,02500728
262878248,BesserBio,Bahnhofstraße 1,15732,52.3722174,13.6157371,0
264620848,REWE,Oberweißbacher Straße 2-4,12687,52.5565629,13.5714829,10100206
264645629,REWE City,Südwestkorso 36,14197,52.4686357,13.3117953,04400835
268021255,REWE City,Otto-Suhr-Allee 141,10585,52.5190008,13.3007843,04300621
268664135,Lidl,Berliner Straße 27-28,13189,52.563584,13.412146,03400826
268844516,E-Center,,,52.6082579,13.2353863,12400619
268845115,Nah und gut,,,52.6097415,13.248277,12400619
269478706,Kaufland,Rudower Chaussee 12,12489,52.432822,13.5351004,09200715
269479009,Edeka Ungefroren,Fischerinsel 12,10179,52.513684,13.4060088,01100312
