id,points_of_interest
011001,4
011002,11
011003,32
011004,7
012005,16
012006,10
013007,7
013008,9
014009,11
014010,13
021001,14
022002,27
023003,6
023004,10
024005,7
024006,7
025007,9
025008,14
031001,4
032002,3
032003,5
033004,5
033005,3
034006,2
034007,7
034008,8
035009,8
035010,1
036011,6
036012,11
036013,7
036014,11
037015,10
037016,9
041001,4
042002,1
042003,7
043004,15
043005,3
043006,26
044007,2
044008,10
045009,11
045010,18
045011,13
051001,3
051002,2
051003,10
052004,3
052005,4
052006,7
053007,3
053008,6
054009,3
061001,12
061002,13
062003,4
062004,4
063005,3
063006,7
064007,7
064008,10
071001,13
071002,9
072003,3
072004,19
073005,13
073006,3
074007,3
074008,8
074009,6
075010,7
075011,5
076012,2
076013,3
076014,2
076015,6
081001,9
081002,25
081003,8
081004,7
081005,3
082006,3
082007,5
082008,4
083009,4
083010,2
084011,2
084012,3
091001,3
091002,2
091003,2
091004,2
092005,2
092006,2
092007,5
092008,1
093009,1
093010,5
093012,1
094013,1
094014,1
095017,4
095018,2
095019,5
095020,1
101001,3
101002,7
101003,9
102004,3
102005,1
102006,3
103007,4
104008,1
111002,9
111003,5
112004,2
112005,5
113006,4
113007,8
114009,4
114010,3
114011,9
115013,3
121001,4
121002,6
122003,7
122004,2
122005,4
124006,2
124007,6
125009,4
126010,3
126011,4
126012,1
