id,points_of_interest
000000,68
011002,6
011003,42
011004,13
012005,2
012006,12
013007,4
013008,6
014009,6
014010,10
024005,12
024006,4
025007,12
025008,27
032002,28
032003,14
033005,12
034006,10
034007,18
034008,5
035009,21
035010,14
036011,20
036012,14
036013,9
036014,20
037015,13
037016,12
091004,22
092005,25
092006,6
092007,17
092008,15
093011,19
093012,11
094013,19
094015,11
095017,42
095018,6
095019,17
095020,13
101001,9
101002,21
101003,48
102004,18
102005,15
104009,35
111002,8
111003,15
112004,17
112005,28
113006,18
113007,36
114009,3
114010,3
114011,6
115012,8
115013,18
