id,points_of_interest
011001,3
011002,10
011003,13
011004,1
012005,3
012006,2
013007,2
013008,3
014009,3
014010,4
021001,7
022002,7
023003,2
024005,2
025007,3
025008,1
034008,2
036011,2
037015,1
041001,2
042002,2
042003,3
043004,1
043005,2
043006,5
044008,1
045009,1
045010,7
045011,6
051003,2
053007,2
053008,3
061001,2
064008,7
071001,3
071002,2
072003,3
072004,2
073005,2
074007,1
074008,4
075010,1
075011,1
081001,2
081002,3
081003,2
082006,1
082007,3
083009,2
083010,2
084012,1
102005,3
102006,3
103007,2
104008,1
113007,1
113008,1
114009,1
114011,1
121001,1
121002,3
122003,2
122004,2
122005,2
125009,3
