id,points_of_interest
01100101,1
01100102,23
01100103,2
01100104,8
01100205,19
01100206,39
01100207,14
01100308,34
01100309,67
01100310,38
01100311,2
01100312,12
01100313,6
01100414,2
01100415,33
01100416,29
01200517,1
01200518,3
01200519,8
01200520,11
01200521,6
01200522,7
01200623,10
01200624,8
01200625,7
01200626,8
01200628,9
01200629,6
01300730,7
01300731,2
01300732,3
01300733,11
01300834,6
01300835,5
01300836,16
01400937,4
01400938,16
01400942,11
01401043,5
01401044,5
01401045,3
01401046,10
01401047,8
01401048,10
01401049,7
02100101,6
02100102,14
02100103,5
02100104,7
02100105,3
02100106,4
02200207,10
02200208,8
02200209,13
02200210,13
02200211,30
02200212,12
02200213,31
02300314,33
02300315,12
02300316,3
02300417,18
02300418,9
02300419,25
02400520,2
02400521,2
02400522,4
02400623,3
02400624,6
02400625,7
02500726,7
02500727,5
02500728,15
02500729,4
02500830,7
02500831,5
02500832,5
02500833,39
02500834,24
02500835,4
02500836,4
03100102,1
03100103,2
03200204,3
03200205,2
03200206,3
03200207,3
03300411,1
03300412,1
03300514,1
03300516,2
03400618,1
03400619,4
03400620,1
03400721,9
03400722,3
03400723,5
03400724,1
03400725,2
03400826,4
03400827,1
03400828,1
03400830,1
03500932,1
03500933,4
03500934,4
03500935,5
03500936,3
03501037,1
03501038,2
03601139,4
03601140,2
03601141,9
03601142,24
03601243,6
03601244,4
03601245,3
03601346,9
03601347,22
03601348,17
03601450,1
03601451,2
03601452,1
03601453,1
03701554,33
03701555,17
03701556,24
03701657,2
03701658,4
03701659,13
03701660,19
04100101,2
04200205,1
04200207,2
04200308,3
04200310,6
04200311,6
04300412,4
04300413,11
04300414,19
04300415,3
04300416,26
04300517,2
04300518,3
04300619,6
04300620,8
04300621,11
04300622,17
04300623,26
04300624,29
04400727,4
04400728,3
04400830,4
04400831,1
04400832,2
04400834,2
04400835,6
04500936,11
04500937,10
04500938,7
04500939,1
04501040,15
04501041,27
04501042,43
04501043,12
04501044,11
04501045,10
04501146,3
04501147,1
04501148,1
04501149,10
04501150,4
04501151,7
04501152,6
04501153,4
05100101,2
05100103,1
05100104,4
05100105,1
05100312,1
05100313,1
05100314,2
05100315,1
05100316,11
05200420,1
05200423,1
05200629,8
05200630,5
05200634,4
05300736,2
05300737,1
05300839,1
05400942,5
05400943,2
05400944,3
06100101,1
06100102,19
06100103,11
06100206,6
06100207,3
06100208,2
06100209,5
06200313,3
06200317,1
06200420,1
06200421,3
06200422,1
06200423,1
06300524,1
06300525,1
06300526,6
06300629,3
06300632,1
06300633,9
06300634,4
06400735,4
06400736,1
06400737,7
06400838,4
06400839,2
06400840,2
06400841,1
06400842,3
06400843,14
06400844,5
07100101,21
07100102,17
07100103,11
07100204,19
07100205,4
07100206,7
07200307,7
07200308,8
07200409,21
07200410,9
07200411,9
07200412,2
07200413,10
07200414,5
07300515,5
07300516,7
07300517,8
07300618,3
07300619,3
07400720,7
07400721,1
07400822,2
07400823,1
07400824,5
07400825,5
07400927,5
07400928,1
07501029,3
07501030,4
07501032,1
07501133,2
07501134,3
07601236,1
07601237,1
07601238,1
07601442,3
07601544,3
07601546,1
08100101,5
08100102,16
08100103,11
08100104,9
08100105,4
08100206,19
08100207,3
08100208,23
08100209,5
08100310,12
08100311,21
08100312,11
08100313,1
08100314,15
08100415,13
08100416,8
08100417,11
08100418,3
08100419,2
08100521,2
08200623,1
08200624,3
08200726,2
08200727,1
08200729,3
08300934,2
08300935,1
08301037,3
08401242,1
08401243,3
08401244,1
09100101,13
09100202,1
09100304,3
09100306,1
09100407,1
09100408,2
09100409,1
09200511,5
09200512,2
09200613,5
09200715,8
09200716,4
09200717,1
09200818,1
09200819,1
09300920,1
09300922,1
09300923,1
09301024,1
09301025,1
09301126,4
09301228,2
09401330,1
09401534,7
09401635,2
09501737,7
09501838,2
10100101,1
10100103,1
10100208,1
10100209,1
10100210,3
10100312,4
10100313,2
10100315,1
10100316,2
10200417,2
10200418,1
10200421,1
10200524,2
10200629,1
10300731,1
10300732,4
10300733,1
10300734,1
10400835,1
10400938,1
10400939,2
10400940,1
10400941,2
11100101,1
11100102,1
11200411,3
11200512,1
11200513,2
11200514,2
11200515,1
11300616,1
11300617,2
11300619,1
11300620,1
11300721,5
11300722,6
11300724,3
11300725,3
11300826,1
11400927,1
11400929,10
11400930,1
11400931,2
11401034,2
11401135,2
11401136,1
11401137,3
11501238,4
11501340,2
11501341,5
12100101,5
12100103,2
12100204,6
12100205,1
12200307,1
12200309,2
12200411,1
12200412,2
12200515,13
12400616,1
12400618,1
12400619,1
12400721,4
12400722,1
12400723,3
12500824,2
12500927,1
12500928,1
12500930,1
12601032,1
12601134,3
12601235,1
12601236,1
