id,name,street,zip_code,lat,lon,geojson_feature_id
669088712,Ärztehaus Johannisthal,Sterndamm 152,12487,52.4396916,13.5001666,09100407
694302689,Ärztehaus am Roedeliusplatz,Schottstraße 4,10365,52.5151416,13.4909414,11300724
872223518,Ärztehaus,,,52.4988453,13.4198597,02300417
874357625,MVZ am Moritzplatz,Oranienstraße 158,10969,52.5027923,13.4132967,02100104
911925361,Ärztehaus Damerowstraße,Damerowstraße 7,13187,52.5721447,13.4169764,03400723
933513566,Ärztehaus am Schlachtensee,Breisgauer Straße 1-3,14129,52.4393545,13.2152923,06400838
1038248666,Chirurgie & Orthopädie am Ostkreuz,Sonntagstraße 1,10245,52.5044921,13.4680671,02500834
1168212013,MVZ-Vitalis,Alt-Buckow 9-11,12349,52.4227868,13.4352588,08200832
1217659471,Nierenzentrum Zehlendorf,Fischerhüttenstraße 111,14163,52.4441457,13.2385141,06400838
1272472319,DTZ Berlin - Ärztehaus Kadiner Straße,Kadiner Straße 23,10243,52.5151646,13.4511418,02400624
1336685638,Ärztehaus,,,52.5369549,13.2044575,05100316
1547846970,Ärztehaus Altes Kino,Brandenburgische Straße 76,15566,52.4648369,13.6981878,0
1618861746,Ärzte Zentrum Köpenick,,,52.4472814,13.5758681,09401534
1724523076,Tagesklinik unter den Eichen,Unter den Eichen 93,12205,52.4444506,13.2912619,06300629
1732901969,Medico Leopoldplatz,Müllerstraße 151,13353,52.5466232,13.3581741,01400942
1734428743,Ärztehaus,Hermann-Hesse-Straße 4,13156,52.5809237,13.402647,03200206
1974936511,Praxis für Radioonkologie und Strahlentherapie,,,52.4910643,13.2929804,04400727
2021436781,"Sana Gesundheitszentrum Marzahn ""Ernst Ludwig Heim""",Helene-Weigel-Platz 10,12681,52.527514,13.5419927,10100312
2105895889,Ärztehaus am Tempelhofer Hafen,Tempelhofer Damm 227,12099,52.4555574,13.3860897,07400927
2126141390,Ärztehaus,Schloßstraße 5,13507,52.5913935,13.2837171,12200515
2335086445,"Sana Gesundheitszentrum Friedrichshain ""Frédéric Joliot-Curie""",Grünberger Straße 43-45,10245,52.5122055,13.4551298,02500833
2435045640,Rückenzentrum am Markgrafenpark,Markgrafenstraße 19,10969,52.506748,13.3946085,02100102
2495554370,MVZ Diagnostisches Zentrum Kreuzberg,,,52.4896553,13.3887577,02200211
2509419045,Ärztehaus Neubritzer Tor,Hermannstraße 147,12051,52.4644914,13.4332296,08100105
2557712726,Magnet MVZ Berlin,Alt-Moabit 90,10559,52.5250616,13.3441342,01200626
2821025302,Nierenzentrum Charlottenburg,Wilmersdorfer Straße 57,10627,52.5076863,13.3060017,04300623
2851155103,Zahnklinik/Zahnärztlicher Notfalldienst,Aßmannshauser Straße 4-6,14197,52.4766498,13.3133427,04400834
2935287105,Gesundheitszentrum,,,52.583891,13.288331,12200515
3310721906,Ärztehaus Galenusstraße,Galenusstraße 59,13187,52.580674,13.4238384,03400725
3371705079,Ärztehaus Rahnsdorf,Fürstenwalder Allee 318,12589,52.431545,13.7156322,09501838
3374664253,Frauenheilkunde und Geburtsmedizin,,,52.5425166,13.343078,01400938
3374664287,Klinik für Anästhesiologie und operative Intensivmedizin,,,52.5414754,13.3441244,01400938
3374664288,Klinik für Augenheilkunde,,,52.5414126,13.3425037,01400938
3374664289,Klinik für Neurologie,,,52.5417163,13.3452139,01400938
3374664291,"Klinik für Psychiatrie, Psychosomatik und Psychotherapie des Kindes- und Jugendalters",,,52.5411876,13.3412877,01400938
3374665793,Kliniken für Kinderheilkunde und Kinderchirurgie,,,52.5424245,13.3418703,01400938
3374665794,Institut für Tropenmedizin und Internationale Gesundheit,,,52.5398016,13.3452252,01400938
3442710834,Ärztehaus Karow,,,52.6116633,13.4739664,03300412
3566078016,Ärztehaus Karlshorst,Ehrenfelsstraße 47,10318,52.4825509,13.5263205,11501340
