id,points_of_interest
011002,3
011003,3
011004,2
012006,3
013008,1
014009,19
014010,2
021001,3
022002,2
023004,1
024006,3
025008,2
031001,2
032002,1
033004,1
034007,4
035009,1
035010,1
036011,1
036013,1
036014,1
041001,1
042003,1
043004,2
043006,4
044007,1
044008,1
045009,4
045010,3
045011,4
051003,3
054009,1
061001,1
062003,2
062004,1
063006,1
064007,1
064008,3
071001,1
073006,1
074009,1
075010,1
075011,1
076015,1
081001,1
082008,1
084011,1
091004,1
092007,2
092008,2
094015,1
095017,1
095018,1
101003,1
102004,1
104009,1
112005,1
113006,2
113007,1
114009,1
114011,1
115013,2
122003,2
122005,3
