id,points_of_interest
011001,35
011002,71
011003,160
011004,64
012005,36
012006,49
013007,23
013008,25
014009,31
014010,48
021001,39
022002,117
023003,48
023004,51
024005,9
024006,16
025007,31
025008,89
031001,3
032002,11
033004,2
033005,3
034006,6
034007,20
034008,7
035009,17
035010,3
036011,40
036012,13
036013,49
036014,5
037015,75
037016,38
041001,2
042002,3
042003,16
043004,60
043005,5
043006,99
044007,6
044008,15
045009,30
045010,120
045011,36
051001,8
051003,16
052004,2
052006,17
053007,3
053008,1
054009,10
061001,31
061002,14
062003,4
062004,6
063005,8
063006,17
064007,12
064008,31
071001,49
071002,30
072003,15
072004,56
073005,20
073006,6
074007,9
074008,13
074009,6
075010,8
075011,5
076012,3
076014,3
076015,4
081001,45
081002,51
081003,60
081004,37
081005,2
082006,4
082007,6
083009,3
083010,3
084012,5
091001,13
091002,1
091003,4
091004,4
092005,7
092006,5
092007,13
092008,2
093009,3
093010,2
093011,4
093012,2
094013,1
094015,7
094016,2
095017,7
095018,2
101001,2
101002,5
101003,9
102004,4
102005,2
102006,1
103007,7
104008,1
104009,6
111001,2
112004,3
112005,6
113006,5
113007,17
113008,1
114009,14
114010,2
114011,6
115012,4
115013,7
121001,7
121002,7
122003,3
122004,3
122005,13
124006,4
124007,8
125008,2
125009,3
126010,1
126011,3
126012,2
