id,points_of_interest
01100102,5
01100104,1
01100207,1
01100308,2
01100309,6
01100310,4
01100415,2
01100416,1
01200518,2
01200520,1
01200623,1
01200625,1
01200628,1
01200629,1
01300731,1
01300733,2
01300835,1
01300836,2
01400938,1
01401045,1
01401047,1
01401048,2
01401049,1
02100101,1
02100103,1
02200207,2
02200209,4
02200210,1
02200211,5
02200212,2
02200213,8
02300314,1
02300315,2
02300316,2
02300417,1
02300418,1
02300419,2
02400623,1
02400624,2
02400625,2
02500726,1
02500727,1
02500728,1
02500729,2
02500830,1
02500831,1
02500832,1
02500833,5
02500834,3
02500835,1
03100103,1
03200206,1
03200207,1
03300411,2
03400721,2
03400723,2
03400725,1
03400826,2
03500933,1
03500935,1
03500936,2
03601141,3
03601142,3
03601243,2
03601244,1
03601346,2
03601347,2
03601348,2
03601449,1
03701554,4
03701555,3
03701556,1
03701659,2
03701660,3
04200309,1
04300413,1
04300414,2
04300416,1
04300619,1
04300621,1
04300623,1
04300624,1
04400729,1
04400832,2
04500937,1
04500939,1
04501040,2
04501041,1
04501042,1
04501044,1
04501146,1
04501147,1
04501149,2
04501151,1
04501153,1
05100105,1
05100316,2
05300737,1
05300841,1
05400944,2
05400945,1
06100102,4
06100205,1
06100206,1
06100207,2
06100209,1
06200315,1
06200316,1
06200422,3
06300526,1
06300527,1
06300528,1
06300629,2
06300632,1
06300633,1
06400838,1
06400839,1
06400844,1
07100102,3
07100103,2
07100204,2
07200308,2
07200409,5
07200411,1
07200413,1
07300516,2
07300517,2
07300619,2
07400720,1
07400825,1
07400927,1
07501133,1
07601236,1
07601237,1
07601341,1
07601442,1
07601544,2
08100101,1
08100102,4
08100206,1
08100208,1
08100209,1
08100310,3
08100311,2
08100313,1
08100415,2
08100416,1
08100417,1
08200726,1
08301036,1
08401243,2
09100101,4
09100304,2
09100407,1
09200510,1
09200511,1
09200613,1
09301024,1
09301126,3
09401431,1
09401534,3
09501737,3
09501838,1
10100210,1
10100316,1
10200417,1
10200526,1
10200629,1
10400837,1
10400939,1
11100102,1
11100307,1
11100308,2
11200513,1
11200514,1
11300617,1
11300725,2
11400927,1
11400929,2
11401135,1
11501340,1
11501341,1
12100204,2
12100205,1
12200308,1
12200310,1
12200515,5
12400617,1
12400720,1
12400721,1
12400722,2
12400723,2
12500926,1
12500928,1
12500929,1
