id,name,street,zip_code,lat,lon,geojson_feature_id
29071031,Bruno-Lösche-Bibliothek,Perleberger Straße 33,10559,52.5312448,13.3475136,01200623
60848456,Anton-Saefkow-Bibliothek,Anton-Saefkow-Platz 14,10369,52.5307772,13.4708382,11300617
203557001,Stadtteilbibliothek Erich Weinert,Helene-Weigel-Platz 4,12681,52.5281578,13.538715,10100312
256922190,Stadtteilbibliothek Halemweg,Halemweg 18,13627,52.5375039,13.2871861,04100101
257708789,Bezirkszentralbibliothek Spandau,Carl-Schurz-Straße 13,13597,52.5361334,13.2013864,05100316
262879310,Gemeindebibliothek Eichwalde,Grünauer Straße 54,15732,52.3744293,13.6199028,0
263679066,Bezirkszentralbibliothek Mark Twain,Marzahner Promenade 52-54,12679,52.54722,13.556704,10100210
264776935,Ibero-Amerikanisches Institut,Potsdamer Straße 37,10785,52.5068092,13.369701,01100102
266540876,Bezirkszentralbibliothek Philipp Schaeffer,Brunnenstraße 181,10119,52.5316059,13.3986959,01100415
266629485,Stadtteilbibliothek Mahlsdorf,Alt-Mahlsdorf 24-26,12623,52.5055546,13.6127893,10400939
271875991,"Campusbibliothek Natur-, Kultur- und Bildungswissenschaften, Mathematik, Informatik und Psychologie",Fabeckstraße 23/25,14195,52.4535775,13.2902597,06400843
281375131,Wolfdietrich-Schnurre-Bibliothek,Bizetstraße 41,13088,52.5477387,13.4528367,03500936
293137702,Stadtteilbibliothek Karow,,,52.616548,13.4917041,03300411
298063780,Bibliothek,Jahnstraße 2a,14513,52.4036309,13.2589194,0
308811018,Bettina von Arnim Bibliothek,Schönhauser Allee 75,10439,52.5492616,13.414088,03601142
323991172,Egon-Erwin-Kisch-Bibliothek,Frankfurter Allee 149,,52.5134373,13.4813674,11300722
333343782,Helene-Nathan-Bibliothek,Karl-Marx-Straße 66,12043,52.4819616,13.4327729,08100206
345162417,Ingeborg-Drewitz-Bibliothek,Grunewaldstraße 3,12165,52.4577849,13.3196255,06100102
