id,name,street,zip_code,lat,lon,geojson_feature_id
29960085,Bildungszentrum Berlin,Gotzkowskystraße 20,10555,52.5232817,13.3292505,01200517
30061331,Sofort Sanierung 24,Alt-Moabit 83,10555,52.5251505,13.3379787,01200522
35300987,Urbanizers,,,52.5393584,13.3501615,01401046
66917080,Bundesministerium für Gesundheit,Friedrichstraße 108-109,10117,52.5245537,13.3879409,01100309
87040412,Botschaft der Tschechischen Republik,Wilhelmstraße 44,10117,52.5114393,13.384316,01100205
89304553,Botschaft von Australien,,10179,52.5122655,13.4093648,01100312
150989193,,Scharnweberstraße 137,13405,52.5642761,13.3265108,12200309
248780712,Katholische Kirchengemeinde St. Martin Berlin,Techowpromenade 35-43,13437,52.5916198,13.3305132,12500926
266629317,Farbe & Design,Mädewalder Weg 30,12621,52.5079266,13.5882447,10400836
268498019,BerlinWind GmbH,Bundesallee 67,12161,52.4758632,13.3281391,07300515
268915335,Taxi,,,52.5620245,13.3606221,12100204
268915458,Caspar Geyer - Grundstücksgesellschaft mbH,Marienburger Straße 30A,10405,52.5336834,13.4281648,03701658
268917065,,Gierkezeile 5,10585,52.5135508,13.3028655,04300621
272808901,Babylonia,Cuvrystraße 23a,10997,52.4971761,13.4422484,02300419
275368512,Jobcenter Mitte am Leopoldplatz,Müllerstraße 147,13353,52.5467722,13.3565162,01400942
278826729,Vertretung des Freistaates Sachsen beim Bund,Brüderstraße 11-12,10178,52.5141142,13.402527,01100207
282107703,Berliner Stadtmission,Gubener Straße 42,10243,52.5113448,13.449196,02400624
282762579,iu internationale Hochschule,Voigtstraße 2,10247,52.5151465,13.4680303,02500729
298811103,Von Poll Immobilien,Curtiusstraße 3,12205,52.4426607,13.2963669,06300634
300808809,Sahin,Wollankstraße 21A,13187,52.5653495,13.3944479,03400721
304183504,,Hönower Straße 75,12623,52.5114112,13.612096,10400939
309962417,Arbeiterwohlfahrt,Großbeerenstraße 187,14482,52.3833958,13.1197903,0
312664973,Wahlkreisbüro Sebastian Schlüsselburg,Karl-Lade-Straße 30,10369,52.5288365,13.4639628,11300618
313285294,Cradle to Cradle Lab,Landsberger Allee 99C,10407,52.5277671,13.4514279,03601452
314821152,Sanssouci & Co. KG,Hohenzollerndamm 194,10717,52.492993,13.3224551,04501147
320077743,Mersor,,,52.5386779,13.4005968,01100416
330264334,St. Oberholz,Rosenthaler Straße 72,10119,52.5295304,13.4017825,01100309
331398399,Bürgeramt Lankwitz,Gallwitzallee 87,12249,52.4279428,13.3475571,06200315
344283391,Fraunhofer-Institut für Offene Kommunikationssysteme,Kaiserin-Augusta-Allee 31,10589,52.525986,13.3143654,04300518
344289307,Fraunhofer Institut für Zuverlässigkeit und Mikrointegration,Gustav-Meyer-Allee 25,13355,52.5416843,13.3858547,01300835
344289311,Fraunhofer Institut für Zuverlässigkeit und Mikrointegration,Gustav-Meyer-Allee 25,13355,52.5425962,13.3844777,01300835
348075887,Botschaft Gabun,Hohensteiner Straße 16,14197,52.4757469,13.314478,04400835
354483335,Leibniz-Zentrum für Literatur- und Kulturforschung (ZfL),Pariser Straße 1,10719,52.4961456,13.329858,04501045
355918726,co:bios Innovation GmbH,Neuendorfstraße 20 A,16761,52.6339582,13.2089244,0
356925920,Bundesanstalt für Immobilienaufgaben,Fasanenstraße 87,10623,52.5092654,13.3298682,04300622
358106189,Deutsches Institut für Wirtschaftsforschung,Anton-Wilhelm-Amo-Straße 58,10117,52.5121746,13.3886082,01100206
361001240,Bürgeramt Heerstraße,Heerstraße 12-14,14052,52.5094432,13.2679424,04200310
361488016,Brasilianische Botschaft,Wallstraße 57,10179,52.5136175,13.4136259,01100312
361488018,Botschaft der Volksrepublik China,Märkisches Ufer 54,10179,52.5136105,13.4168021,01100312
371520086,Bundesanstalt für Geowissenschaften und Rohstoffe (Außenstelle Berlin),Wilhelmstraße 25-30,13593,52.5193495,13.1839314,05200527
371522567,Centre Marc Bloch,Friedrichstraße 191,10117,52.5108387,13.3896381,01100207
