id,name,street,zip_code,lat,lon,geojson_feature_id
237838613,Rückert-Gymnasium,Mettestraße 8,10825,52.4799688,13.3384592,07200308
256912446,Erwin von Witzleben Grundschule,Halemweg 34-42,13627,52.5394411,13.2880437,04100101
256913234,Sportschule im Olympiapark - Poelchau-Schule,Prinz-Friedrich-Karl-Weg 1,14053,52.521142,13.2416342,04200203
256913872,Anna Freud Schule,Halemweg 22,13627,52.5376587,13.2883255,04100101
263055655,Förderschule,,,52.437435,13.7484636,0
268915174,ABC-Kindergarten - Sabine Erdmann Vorschule,,,52.4978346,13.3019467,04500938
268915405,Freie Schule in Berlin,Viktoriastraße 13-18,12105,52.4545448,13.3814584,07400825
298750707,Evangelische Schule Spandau,Schönwalder Allee 26/27,13587,52.5721259,13.199678,05100101
340239440,Sternberg Grundschule,Mettestraße 8,10825,52.4803608,13.3390601,07200308
360713397,Peter-Petersen-Schule,Jonasstraße 15-16,12053,52.4717574,13.4357615,08100208
360713401,Konrad-Agahd-Grundschule,Thomasstraße 39,12053,52.4725928,13.4354917,08100208
495268803,Oberlin Berufliche Schulen,Steinstraße 80,14480,52.3874644,13.1379577,0
506133476,Berliner Rettungsdienstschule,,,52.445113,13.5170522,09100409
613697442,,,,52.5353066,13.3982097,01100416
727710608,bbw Akademie Betriebswirtschaftliche Weiterbildung,Allee der Kosmonauten 33 B,12681,52.5264226,13.5311243,10100311
867872391,Deutsch Praxis,,,52.503441,13.4120982,02100104
871633760,Yoga/Schiatsu-Zentrum,,,52.5023614,13.413924,02100104
876244328,Atelier für physisches Theater – Internationale Schule für Bewegungsschauspiel,,,52.501677,13.4213836,02300314
985919722,Jugendwerkstatt Buch Aktivierungshilfe,,,52.6256033,13.4929984,03100103
1015728668,Biesalski-Schule,Hüttenweg 40,14195,52.4545683,13.2706708,06400842
1057857273,Ernst-Habermann-Grundschule,Prinzregentenstraße 33-34,10715,52.4833728,13.3327206,04501153
1137671520,Kindermalschule,Lohmeyerstraße 26,10587,52.5185412,13.3007856,04300621
1140710553,CJD Berlin,Am Karlsbad 16,10785,52.5034349,13.3716254,01100104
1224801662,Alno Küchenstudio,,,52.4399472,13.4359177,08200730
1407207210,Abendgymnasium Prenzlauer Berg,Driesener Straße 22,10439,52.552085,13.4056269,03601140
1552045205,Deutsch-Institut Berlin,Novalisstraße 12,10115,52.5284845,13.3884213,01100415
1597894107,Islam Vakfi,,,52.4908343,13.4213252,02200213
1658284135,Charlotte-Wolff-Kolleg,Pestalozzistraße 40-41,10627,52.5083269,13.3036973,04300623
1827035552,SCHATZ Schulaufgabenzirkel,,10999,52.4992808,13.41986,02300314
1833519549,OSZ Wirtschaft Leopold-Ullstein-Schule - Abteilung II,Prinzregentenstraße 60,10715,52.4822428,13.3344676,04501153
1833591080,Kläre-Bloch-Schule,Prinzregentenstraße 60,10715,52.4821179,13.3344536,04501153
1855387994,Das Lernzentum (Helliwood media & education),,,52.5357196,13.6048951,10200526
1867142844,Institut für Phytotherapie,Paul-Lincke-Ufer 42-43,10999,52.4967726,13.4217523,02300417
2136734352,Fachschule für Sozialpädagogik,Am Bärensprung 58,13503,52.6108823,13.2479778,12400619
2180504961,Wangari Maathai International School,Babelsberger Straße 24-25,10715,52.4824554,13.3350661,04501153
2232813894,Hermann-Hesse-Gymnasium (Haus 3),,,52.4935666,13.4201501,02200213
2431140182,das kleine atelier,Oudenarder Straße 32,13347,52.5533306,13.3653305,01401049
2538629492,Freie Sekundarschule Peppermont,Greifswalder Straße 88,10409,52.5425347,13.4415246,03601449
2610154858,Berlin Bilingual School,Rudolf-Baschant-Straße 2,13086,52.557281,13.4417282,03500932
2629122240,Taxischule Metropolis,,,52.4961309,13.384161,02200208
2844490858,Internat der Margarethe-von-Witzleben-Schule,Diestelmeyerstraße 6,10249,52.5218471,13.4401725,02400521
2952353502,Quinoa Schule,Kühnemannstraße 26,13409,52.566071,13.3811302,01300731
