id,name,street,zip_code,lat,lon,geojson_feature_id
167013475,Jockel,Ratiborstraße 14c,10999,52.4916944,13.4389954,02300418
255049657,Haus Sanssouci,,,52.4337259,13.1642419,06400735
276134997,Balkes Park-Treff,,,52.429983,13.3540107,06200315
300327588,Kulturbiergarten Jungfernheide,Heckerdamm 274,,52.5422827,13.2816533,04100101
302953838,,,,52.5715837,13.1229689,0
388514302,Schmetterlingshorst,Zum Schmetterlingshorst 2,12559,52.4123211,13.6095915,09401329
400916176,Albers Biergarten,,,52.4747532,13.5241898,11501341
438209267,Der Waldkater,An der Wuhlheide 195,12459,52.4608859,13.5459148,09200512
492022191,Freibad Lübars,,,52.618156,13.335382,12500929
573395588,Stadionterrassen,,,52.511952,13.239938,04200203
573398147,Pepe Mager,,,52.5156515,13.2439374,04200203
622472685,Im Jagdschloss,Hüttenweg 100,14193,52.467458,13.2617552,06400842
627600191,,,,52.655422,13.5380797,0
783980399,PUBalapap Ponyhof,,,52.4108388,13.3744324,07601237
986839191,Biergarten Bootsverleih Rent a´ Boat,,,52.4866604,13.479138,09100101
1329387334,Insel,Alt-Treptow 6,12435,52.4868423,13.4813072,09100101
1336750491,Freiheit 15,Freiheit 15,12555,52.4480138,13.5765416,09401534
1405977761,PlatzHirsch,Freiherr-vom-Stein-Straße 20,10825,52.4840046,13.3438293,07200308
1727023627,Fassl Schänke,Oranienburger Straße 196,13437,52.5951674,13.3326597,12500926
1763903215,republik-berlin,Köpenicker Straße 74,10179,52.510887,13.4173873,01100313
1861543922,Estrel Biergarten,,,52.4735935,13.4581489,08100520
1907437298,Sommergarten Königin Luise,Parkstraße 87,13086,52.5545195,13.4570315,03500933
2121135269,Gulliver,Marschnerstraße 2,12203,52.4471256,13.3165307,06300630
2293407394,Gaststätte Lindenstübchen,Gudrunstraße 49,16356,52.6064316,13.5623373,0
2572205659,,,,52.4847401,13.3929184,07400721
2713948988,Zur Pfaueninsel,,,52.4284094,13.1224528,06400735
2820136908,Little Popo in der KGA zur Linde,Kiefholzstraße 281,12437,52.4699958,13.483844,09100304
2997206233,Alte Liebe,,,52.5013953,13.2085304,04200207
3695148772,Arnos Biergarten,,,52.6195227,13.3048615,12400722
4926338321,Biergarten am Herthasee,,,52.4885223,13.277003,04400726
4946021958,,,,52.4389002,13.3004552,06300634
4969998321,Yaam,,,52.509477,13.4300877,02400623
5107182643,Hertzberg Golf,Sonnenallee 165,12059,52.47777,13.4488291,08100418
5526313920,Waldstübchen,Arcostraße 45,15831,52.3728059,13.3946901,0
6777268885,,,,52.6386606,13.4902868,03100101
7946130647,Kaisergarten,,,52.4778716,13.1962051,04200207
7946203034,,,,52.5752451,13.6693041,0
7968208886,,,,52.4214548,13.1761353,06400735
8319379070,Zur Dorf-Quelle,Alt-Wittenau 36a,13437,52.5924352,13.32604,12500927
8330198887,Tinis Inn,Quickborner Straße 102,13439,52.6069179,13.3640831,12500929
8544292187,Arnos Biergarten,,,52.6195607,13.3048613,12400722
9014983201,Gundelfinger,Gundelfinger Straße 52,,52.4830643,13.5237671,11501339
9038024709,,,,52.6289656,13.3646149,0
9448539845,Berliner Berg Brauerei Biergarten,,,52.4844806,13.4581169,08100419
9741742487,Kindl Stübl,,,52.6072897,13.3194398,12500928
9813921660,Biergarten Speisekombinat,Chausseestraße 116,10115,52.5301176,13.3828824,01100308
9912640154,Biergarten am Kleinen Tiergarten,Alt-Moabit 25,10559,52.5251183,13.3488206,01200626
12008124069,Neulich Biergarten,Tempelhofer Damm 45,12101,52.4768251,13.3876685,07400721
12047430912,Augustiner auf Bötzow,Prenzlauer Allee 242-245,10405,52.5294043,13.4166869,03701556
12243965940,Fischer & Lustig,Poststraße 26,10178,52.5172035,13.4061283,01100310
12802563611,Prinzengarten,,,52.4265954,13.6414887,09401329
13025350499,Yard Vibes,,,52.4756352,13.3684005,07400720
