id,points_of_interest
011001,5
011002,7
011003,11
011004,4
012005,2
012006,2
013007,1
014010,3
021001,3
022002,10
023003,3
023004,3
024005,2
024006,2
025007,3
025008,2
034007,2
034008,1
035009,2
036011,2
036012,1
036013,1
036014,1
037015,7
042003,2
043004,3
043005,1
043006,6
044007,1
044008,1
045009,3
045010,2
045011,1
051003,2
061001,1
061002,1
063006,1
064007,1
064008,1
071001,2
071002,1
072004,2
073005,3
074007,1
074008,2
081003,3
081004,4
091003,1
092005,1
094015,4
101001,1
113007,3
114009,1
122005,1
124007,1
125009,1
