id,lat,lon,name,street,zip_code,city
30352328,52.5133372,13.2842603,,,,Berlin
410135893,52.4915174,13.4368516,,,,
616672198,52.536068,13.1917177,Sixti Car Club,,,
1334289987,52.4695032,13.3411199,,,,
1826897235,52.4997903,13.4201248,stadtmobil,Skalitzer Straße 133,10999,Berlin
1826931830,52.5051208,13.4316834,Stadtmobil,Audre-Lorde-Straße 121-123,10997,Berlin
3363900043,52.5421241,13.420326,,,,
3363902823,52.542678,13.4189019,Greenwheels,,,
3674966440,52.5302223,13.4319706,Stadtmobil,Bötzowstraße 13,10407,Berlin
3875852629,52.5449905,13.4269668,Flinkster,,,
4278854418,52.5367486,13.4184235,,,,
4436548357,52.5343108,13.381765,,,,
4605555446,52.5229639,13.378748,,,,
5260315892,52.5473121,13.4076002,,,,
6124260756,52.5034886,13.4375537,Cambio Station Köpenicker,Köpenicker Straße 11,,
7536994036,52.5135935,13.4222072,,,,
7915910821,52.5287821,13.4012144,stadtmobil,,,
7995684589,52.4796049,13.3463921,,,,
8255683563,52.5541797,13.2260851,Jelbi-Station Daumstraße/Rhenaniastraße,,,
8614201454,52.5386786,13.2326674,Jelbi-Station U Haselhorst,,,
8614204893,52.5106897,13.5009862,Jelbi-Station S+U Lichtenberg,,,
9002051629,52.5058683,13.5608726,Jelbi,,,
9074640222,52.544121,13.4181042,Cambio,Lychener Straße 46,10437,Berlin
10263347366,52.4917973,13.3791418,,,,
10271579872,52.4867107,13.4228501,,,,
10293401273,52.4885196,13.4135196,,,,
10293414916,52.4974999,13.4436721,,,,
10608414647,52.5722166,13.4281633,DB InfraGO Granitzstraße,,13189,Berlin
10969860170,52.4755902,13.3663847,,,,
11268679694,52.6695769,13.3200366,,Ahornallee 2,16562,Hohen Neuendorf
11268687349,52.6740032,13.2907174,,Käthe-Kollwitz-Straße 23,16540,Hohen Neuendorf
11268687350,52.6701275,13.2863488,,,,
12118950889,52.4896852,13.3957605,cambio,,,
