id,lat,lon,name,street,zip_code,city
282748367,52.515594,13.4721266,Sweet Hands,Waldeyerstraße 7,10247,Berlin
293225672,52.5323311,13.4357348,Rosa Canina,Pasteurstraße 32,10407,Berlin
416076804,52.4437443,13.2938733,Gelatteria Vanilla,Knesebeckstraße 10,12205,Berlin
434563600,52.3927929,13.0921474,Jannys Eis,,,
482737289,52.4900563,13.3831738,Fior di Latte,,10965,Berlin
482737290,52.4914869,13.3862658,vanille & marille Eismanufaktur,Hagelberger Straße 1,10965,Berlin
586536404,52.3865171,13.3995765,Eiscafé Moin Moin to go,Bahnhofstraße 39,12305,Berlin
615020649,52.4992919,13.4429169,Aldemir Eis,Falckensteinstraße 7,10997,Berlin
664244067,52.4745195,13.2939042,Eis Da Dalt,Breite Straße 14A,14199,Berlin
670658034,52.4865601,13.3605488,Don Gelato,,,
670658039,52.4945809,13.3607729,Eis-Café Vannini,Potsdamer Straße 170-170b,10783,Berlin
674432264,52.4450623,13.2929326,Artigiani,Unter den Eichen 95b,12205,Berlin
735944492,52.4450013,13.5743639,Eisbar Friederici,Alt-Köpenick 33,12555,Berlin
739991143,52.4334723,13.3596096,,,,
746853085,52.5807501,13.3996999,Jacksons Ice Cream,,,
747528359,52.5871436,13.4020129,Eiscafé Gelato degli Angeli,Dietzgenstraße 68,13156,Berlin
753361477,52.5699404,13.4106207,Eisspatz,Berliner Straße 4,13187,Berlin
773563718,52.5374295,13.4210527,Tribeca,Rykestraße 40,10405,Berlin
775342946,52.4581642,13.3216253,Eis Da Dalt,,,
832835242,52.551954,13.3667613,Eis & Back,,,
833025100,52.5417617,13.4221348,Eislabor,Raumerstraße 32,10437,Berlin
853810631,52.4892469,13.3939761,Bio Eissalon tanne B.,Marheinekeplatz 15,10961,Berlin
860691104,52.5114743,13.2975913,Moono Frozen Yogurt Berlin,Schloßstraße 28,14059,Berlin
864085678,52.5010414,13.4310567,Eissalon tanne B.,Eisenbahnstraße 48,,
916563260,52.4936851,13.4373087,Five Elephant (Ice Scream),Reichenberger Straße 104,10999,Berlin
926359040,52.5221389,13.4112166,San Marco,,,
977707412,52.4944225,13.4155388,Eiscafé Isabel,Böckhstraße 1,10967,Berlin
1180916040,52.6178898,13.3544783,Eisdiele Angelina Alt-Lübars,Alt-Lübars 36,13469,Berlin
1227247985,52.5173455,13.3077236,Faldon Eismanufaktur,Otto-Suhr-Allee 104,10585,Berlin
1236954083,52.6068479,13.2102847,Eisinsel,,,
1239737913,52.5103967,13.3764124,Häagen-Dazs,,,
1252865192,52.5885432,13.2781145,Florida Eiscafé,,,
1342682103,52.4998032,13.4328743,La Gelateria picola,,,
1356526442,52.5717427,13.3117338,Eis Schober,,,
1374234250,52.511115,13.4616423,EisPiraten,Grünberger Straße 85,10245,Berlin
1418640423,52.536846,13.270978,Salentino Eis,Nonnendammallee 89,13629,Berlin
1420714926,52.4643463,13.314186,Eisfee,Forststraße 17,12163,Berlin
1435425821,52.3713188,13.1352948,Fantasia del Gelato,Nuthestraße 1-10,14480,Potsdam
1544188668,52.5474135,13.411646,Scrolls Garden,Gleimstraße 26,10437,Berlin
1579564854,52.5267288,13.3372932,Gelateria Da Gianni,Turmstraße 35A,10551,Berlin
1595959825,52.4554574,13.5033722,BioEisdiele,Südostallee 169,12487,Berlin
1643139873,52.5618625,13.7234147,Eisdiele,Berliner Allee 14,15345,Altlandsberg
1655132781,52.4379767,13.2712876,Eiscafe Frech,,,
1704338330,52.3601651,13.4095569,Eiscafe Athene,Am Bahnhof 1,15831,Blankenfelde-Mahlow
1710136143,52.5883744,13.2786473,La Donna,Alt-Tegel 27,13507,Berlin
1773561652,52.4636145,13.4843935,eiscafé MOINMOIN,Baumschulenstraße 74,12437,Berlin
1832540155,52.5168139,13.2616517,Eisdiele Gloria,Steubenplatz 5,14050,Berlin
1839787343,52.5232348,13.3793711,Der Eisladen,Luisenstraße 14,10117,Berlin
